clust,clust_RCSI,clust_RCSI_predict_ipc
21048764,.37037036,3.0885668
21051203,4.0999999,3.0885668
21086069,6.0588236,3.0885668
21086436,6.318182,3.0885668
30107624,3.125,3.0885668
30202252,3,3.0885668
30208396,3.909091,3.0885668
30306087,4.1999998,3.0885668
30306555,2.6875,3.0885668
30502456,6.8571429,3.0885668
30503685,5.6315789,3.0885668
30710079,3.2666667,3.0885668
30805259,16.277779,3.0885668
31001749,5.2916665,3.0885668
31204618,1.7222222,3.0885668
31435753,6.3157897,3.0885668
31441389,2.6666667,3.0885668
31442394,2.2727273,3.0885668
31536118,3.4000001,3.0885668
31552686,0,3.0885668
