clust,clust_HDDS,clust_HDDS_predict_ipc
10101016,4.6875,5.2399354
10202514,5.2352943,5.2399354
10304012,5.7199998,5.2399354
10503367,5.0952382,5.2399354
10509319,5.3125,5.2399354
10746033,5.4210525,5.2399354
20113112,5.2608695,5.2399354
20206362,5.6500001,5.2399354
20407398,5.318182,5.2399354
20508349,5.125,5.0693069
20607315,4.9259257,5.2399354
20615064,4.0952382,5.2399354
20807727,4.590909,5.0693069
20808421,5.1904764,5.2399354
20908088,5.3888888,5.0693069
20909113,5.7142859,5.0693069
21052427,6.25,5.2399354
30101280,5.181818,5.2399354
30105325,4.8499999,5.0693069
30108401,4.6500001,5.2399354
30305277,5.6500001,5.0693069
30406710,5.7272725,5.0693069
30504518,5.2631578,5.0693069
30708665,6.1666665,5.0693069
30711684,5.3684211,5.0693069
30806611,5.8125,5.0693069
31002169,6.1578946,4.5
31108703,5.7058825,5.0693069
31436695,6.5,5.2399354
31554613,5.6842103,5.0693069
10101204,5.0588236,5.2399354
10101215,4.9411764,5.2399354
10102004,4.5625,5.2399354
10203176,5.1111112,5.2399354
10220705,6.0555553,5.2399354
10305446,5.2777777,5.2399354
10401140,5.8095236,5.2399354
10401502,5.3333335,5.2399354
10501505,5.3125,5.2399354
10501709,5,5.2399354
10505310,5.6875,5.2399354
10510388,5.4705882,5.2399354
10732192,6.4375,5.2399354
10735173,6.0999999,5.2399354
10736596,5.6363635,5.2399354
10746244,5.6500001,5.2399354
20115434,5.826087,5.2399354
20302539,5.5652175,5.2399354
20305301,5.2173915,5.2399354
20306557,5.4444447,5.2399354
20404032,4.7777777,5.2399354
20407481,5.3888888,5.2399354
20601141,4.7777777,5.2399354
20603090,4.5999999,5.2399354
20607260,5.9130435,5.2399354
20615735,5.1666665,5.2399354
20706163,5.1666665,5.2399354
20803156,4.7333331,5.2399354
20804405,4.25,5.2399354
20804768,4.4000001,5.2399354
20906524,4.8499999,5.2399354
21037030,6.3157897,5.2399354
21037536,6.2142859,5.2399354
21053745,6.818182,5.2399354
21055241,6.409091,5.2399354
21055693,6.4210525,5.2399354
21074510,5.695652,5.2399354
21077725,6.8000002,5.2399354
21080308,5.7083335,5.2399354
21081573,6.25,5.2399354
21088597,5.8125,5.2399354
30103074,4.8421054,5.2399354
30104708,4.9444447,5.2399354
30105448,4.8235292,5.2399354
30109724,5.2631578,5.2399354
30212307,5.2380953,5.2399354
30212492,4.7058825,5.2399354
30307678,6.4499998,5.2399354
30403444,6.3157897,5.2399354
30602235,5.7894735,5.2399354
30703381,5.4210525,5.2399354
30704313,5.5714288,5.2399354
30709438,6,5.2399354
30801679,5.2222223,5.2399354
30803115,5.4285712,5.2399354
30804416,6.1904764,5.2399354
30901603,5.4375,5.2399354
31007335,5.4499998,5.2399354
31201007,5.25,5.2399354
31201197,4.7777777,5.2399354
31432523,5.8888888,5.2399354
31432676,6.352941,5.2399354
31438690,6.2631578,5.2399354
31443108,6.2727275,5.2399354
31443270,6.6315789,5.2399354
31540419,5.96,5.2399354
31545384,5.8499999,5.2399354
31555614,6.125,5.2399354
10103414,5.625,5.2399354
10203744,6.0454545,5.2399354
10204322,5.2941175,5.2399354
10204586,6.0526314,5.2399354
10220103,5.681818,5.2399354
10301663,5.352941,5.2399354
10308636,5.0625,5.2399354
10404186,5.1764708,5.2399354
10502268,5.8235292,5.2399354
10502593,5.6666665,5.2399354
10505136,5.25,5.2399354
10505508,5.4736843,5.2399354
10733640,6.8571429,5.2399354
20106042,5.9130435,5.2399354
20110620,5.5500002,5.2399354
20111718,5.3636365,5.2399354
20303065,5.4347825,5.2399354
20404575,5.2857141,5.2399354
20601626,6.1599998,5.2399354
20602363,6.0555553,5.2399354
20603533,5.9000001,5.2399354
20604638,5.3000002,5.2399354
20605302,4.3684211,5.2399354
20610050,4.8000002,5.2399354
