clust,clust_HDDS,clust_HDDS_predict_ipc
20610249,4.9523811,5.2399354
20613324,4.8571429,5.2399354
20614477,5.7391305,5.2399354
20704738,4.9629631,5.2399354
20801046,4.8823528,5.2399354
20906605,5,5.2399354
21066096,6.5,5.2399354
21066339,5.8499999,5.2399354
30101545,5.5,5.2399354
30102028,5.3684211,5.2399354
30102540,5.1999998,5.2399354
30206341,5.7142859,5.2399354
30206572,4.9523811,5.2399354
30302601,5.5714288,5.2399354
30305082,5.4117646,5.2399354
30305580,5.090909,5.2399354
30501383,5.5714288,5.2399354
30620196,6.3125,5.2399354
30705391,5.8888888,5.2399354
30706619,6.1052632,5.2399354
30801672,5.5625,5.2399354
30901054,5.5500002,5.2399354
30901475,5.304348,5.2399354
31004312,5.7368422,5.2399354
31006556,5.4761906,5.2399354
31201104,5.4736843,5.2399354
31201516,5.5,5.2399354
31435120,6.1111112,5.2399354
31439102,6.3846154,5.2399354
31532674,5.9130435,5.2399354
31533095,6,5.2399354
31536751,6.2105265,5.2399354
31546760,6.5714288,5.2399354
31550254,6.6666665,5.2399354
10101562,5.7272725,5.2399354
10104150,4.9473686,5.2399354
10201688,6.173913,5.2399354
10302010,5.5625,5.2399354
10307413,5.5263157,5.2399354
10401522,5.2105265,5.2399354
10405213,6.090909,5.2399354
10507175,4.5,5.2399354
10507344,5.8095236,5.2399354
10734370,6.0555553,5.2399354
10734762,6.0500002,5.2399354
10741504,6.1428571,5.2399354
10744649,5.9411764,5.2399354
20112661,4.1578946,5.2399354
20205207,5.3157897,5.2399354
20402198,5.3000002,5.2399354
20405366,5.0555553,5.2399354
20507089,5.2105265,5.2399354
20507459,5.6500001,5.2399354
20702471,5.2941175,5.2399354
20705372,4.625,5.2399354
20802019,4.8636365,5.2399354
20806131,4.3333335,5.2399354
20903583,5.652174,5.2399354
20908119,5.4705882,5.2399354
21048764,6.6296296,5.2399354
21051203,6.0999999,5.2399354
21086069,5.647059,5.2399354
21086436,5.7272725,5.2399354
30107624,4.875,5.2399354
30202252,5.5714288,5.2399354
30208396,5.2272725,5.2399354
30306087,5.4000001,5.2399354
30306555,5.625,5.2399354
30502456,5.5714288,5.2399354
30503685,5.5263157,5.2399354
30710079,5.8666668,5.2399354
30805259,5.3333335,5.2399354
31001749,5.125,5.2399354
31204618,5.3888888,5.2399354
31435753,6.2631578,5.2399354
31441389,6.3333335,5.2399354
31442394,6.409091,5.2399354
31536118,6.5999999,5.2399354
31552686,6.7894735,5.2399354
