clust_logFCS,clust_logFCS_predict
3.6660154,3.5397718
3.7188785,3.7856777
3.7998304,4.0701056
3.8448913,3.6308584
3.6879361,3.6324561
3.7841516,3.7601082
3.8374259,3.6608055
3.8953035,3.679939
3.8047087,3.5754607
3.6172888,3.8313532
3.6439795,3.7485974
3.4990628,3.5734437
3.4933577,3.7083914
3.6403515,3.6248889
3.6665723,3.8943789
3.84376,3.7832823
4.0433965,4.0511794
3.7008128,3.6808286
3.7441485,3.7851579
3.6215286,3.6901271
3.862515,3.7578897
3.9374404,3.7636318
3.8079872,3.7275946
3.9977124,3.8506875
3.8358147,3.7796535
3.7830768,3.6721861
3.8918312,3.9889963
3.7758429,3.8896072
4.1514988,4.1874781
3.8444798,3.9278638
3.8362947,3.7239454
3.6930976,3.6906805
3.6518881,3.7281699
3.7350838,3.7832696
3.9886575,4.0693736
3.7446616,4.0503831
3.93312,3.9313123
3.7440948,3.6685183
3.7857857,3.6600552
3.7116849,3.633754
3.8871653,3.6599445
3.9496818,3.6549065
4.2388158,4.0044718
3.9722149,4.1059127
3.8195713,3.9760525
3.7748787,3.8128171
3.9916737,3.652307
3.8403809,3.6561427
3.8244824,3.695961
3.8742146,3.6244774
3.7777686,3.677264
3.9021387,3.7644892
3.7166927,3.5346453
3.5496531,3.5742502
3.9362974,3.8782418
3.7444925,3.6466534
3.5289705,3.6873844
3.5693336,3.564307
3.6268327,3.6519034
3.4981892,3.5108039
3.6486998,3.6365702
4.1787114,4.0645037
4.0011086,3.9912801
4.2960067,4.2313776
4.1393027,4.1820464
4.1048226,4.1505208
3.8897817,3.8409297
4.4301381,4.6396842
3.8571975,3.8469324
4.1035881,3.8459952
3.9184604,3.7825246
3.6246924,3.6548035
3.6686556,3.632231
3.6704962,3.6202033
3.7689302,3.6679831
3.7852209,3.568574
3.7130654,3.5400214
4.0658445,4.0484047
4.0676599,3.787164
4.0440907,3.7296901
3.7745514,3.7138071
3.8609583,3.686568
3.9285622,3.7266285
3.7701697,3.7829068
3.7868888,3.7098348
3.9609897,3.9657166
3.7418106,3.4721801
3.7601032,3.6775057
3.7442036,3.7768316
3.6866508,3.7430942
3.8576705,3.8012283
4.307807,4.1158757
4.0041785,3.7892478
4.1439509,4.0927014
4.1076107,3.9359291
4.0758004,4.0476556
3.9102142,3.8966069
4.0183487,3.8513446
3.8182402,3.6558251
3.9712291,3.8047862
3.7441885,3.7419393
3.9448898,3.9825234
3.745857,3.8117044
3.7006366,3.8955262
3.7242777,3.8259895
3.6038883,3.8169248
4.0880117,3.601702
3.8565178,3.6862874
3.8771565,3.5557523
3.8044646,3.6476038
4.4177699,4.5036006
3.9529483,3.6974726
3.9882655,3.6664705
3.782285,3.6016233
3.9465747,3.5894976
3.8390801,3.6331558
3.9228625,3.9933906
4.0240684,3.8749416
3.9198496,3.8288975
3.6902764,3.5468559
3.4244342,3.5425606
3.6624522,3.5862129
3.6410766,3.6457849
3.6560838,3.5684509
3.8188958,3.6757839
3.6584873,3.5901942
3.6556187,3.613137
3.6803482,3.679143
4.0570364,4.019691
4.0009079,3.911557
3.933511,3.630163
3.9245605,3.6534882
3.888823,3.6657667
3.9735847,3.7268627
3.7099979,3.5956399
3.8880391,3.5195141
3.7848067,3.6998091
3.7995741,3.6227112
3.8336868,3.7366517
4.070292,4.0223217
3.8762567,3.809397
3.9872594,3.9366057
3.8244545,3.6352456
3.7324572,3.4127204
3.8186865,3.461658
3.9912584,3.7152252
3.8286057,3.6760056
3.8511894,3.7284436
3.7493882,3.7077279
4.1048164,3.9227633
4.1718726,4.172513
3.9400933,3.8664052
4.0186462,3.8682387
4.0405884,3.9276853
4.1376033,4.0085535
4.3435025,4.4523439
