clust_RCSI,clust_RCSI_TA_predict_m3
5.5,5.2155437
5.8125,6.0808158
1.875,2.9674964
3.1875,4.7873492
4.25,5.4017811
3.4375,3.2167814
0,2.5969281
6.375,6.1953702
6.5,6.2896752
6.3125,3.4418192
4.9375,3.0545359
2.5625,2.9811065
3.5625,5.2993093
2.0625,5.0164213
8.0625,6.884263
4.5,6.4930577
7.625,6.5810781
2.125,3.1145794
4.625,3.7724504
7.0625,6.0681448
0,1.2003721
0,.011767237
1.875,1.0742297
1.375,.26067942
