clust_logFCS,clust_logFCS_TA_predict_m3
3.8957961,
3.8433914,
3.6068509,
3.9071677,
3.7298448,
3.7986944,
3.6515052,
3.6250021,
3.2594001,
3.4303918,
3.9009693,
3.8225818,
3.9159296,
3.7907922,
4.1305733,
4.2029138,
3.428915,3.6908679
3.6798742,3.6908679
3.7920558,3.8766968
4.0930805,3.8567348
4.190258,4.0040488
3.8311379,3.7275198
3.9229758,3.757437
3.8413706,3.7100847
3.9842088,4.0912099
4.1571102,4.1339054
3.9729879,3.9543304
3.9403157,3.794179
4.0288696,3.8677096
4.1738367,3.9673498
3.7983389,3.7365117
4.1300206,3.7488732
3.9762981,3.7162929
4.0003853,3.7162929
3.9890115,3.7822285
3.6776738,3.7887402
3.6663437,3.8375759
3.6813517,3.7006273
3.8371463,3.7006273
3.9293499,3.845598
3.7933254,3.6323555
3.6920769,3.7934382
3.6053014,3.7411466
3.6528952,3.6777234
3.8649695,3.6766553
3.5762422,
3.8035097,3.8548043
3.8875649,3.8247545
4.2200193,4.2485795
4.1250758,4.0957918
3.9934938,3.8716929
3.6811516,3.7375078
3.8902903,3.7319453
3.7477138,3.6379101
3.992913,
3.924525,3.725003
3.6673386,3.6355612
3.827879,3.6976213
3.8692138,3.7965226
4.1253071,3.9351072
3.8604779,3.8683167
3.8791885,3.7618139
3.7130911,3.7800195
3.8417895,3.7639396
3.7849798,3.7378509
3.8965657,3.7361739
3.8511496,3.8526754
3.7984719,3.8815153
3.4644091,3.7688329
3.6455102,3.8142319
3.6218488,3.7067001
3.7508736,3.6956944
3.7991931,3.9541008
3.5877042,3.6978559
3.6742008,3.7211368
3.6508844,3.7406592
3.7491934,3.701807
3.7380006,3.7276235
3.8884969,3.7276235
3.8522282,
4.0095253,4.0708942
4.1054387,3.9659724
4.0627818,4.125237
4.246439,4.2234898
3.5881505,3.7559333
3.7645411,3.7566047
3.7541988,3.9583793
4.1231403,4.075335
4.1161008,3.8638995
3.9695358,4.1114717
4.0301847,3.7535553
3.8806555,3.7488732
4.1612439,3.9944987
3.8810244,3.7895668
4.2594485,4.145577
4.0636339,3.7815711
3.7058008,3.8921335
4.1514592,4.0265179
3.8190532,3.7223148
3.9536562,
3.8637321,3.7343102
4.1111913,4.0099459
4.223289,4.132966
4.0230479,4.0957918
4.4733653,4.4665318
4.0504851,4.0171685
3.8283892,3.6512032
3.7391696,3.7393825
3.7367764,3.7985349
4.1461926,4.1352162
4.0300303,3.8705473
3.7888672,3.8705473
3.7595384,
4.2690978,4.1052427
3.8804801,3.8526754
3.5273159,3.8736663
3.6484458,3.7704334
3.7694745,3.7067001
3.6295667,3.7067001
3.3310273,
3.5688164,3.6567905
3.7975435,3.7576165
3.8456302,3.8321784
3.989639,3.9961643
3.7946489,3.7349496
4.0490174,3.9659724
4.1691937,4.026722
3.9552462,3.8380949
3.7831943,3.6996946
3.9334564,3.9866569
3.8880253,3.9583793
4.1012278,3.8552294
4.0804572,3.8638995
3.9100244,3.8638995
4.0426173,3.9171891
4.1560116,4.0886006
3.7499366,3.6727695
3.7136557,3.7275198
3.8122923,4.0550861
4.2483554,4.2504339
3.9542117,3.9036348
4.147902,3.9673498
3.8776166,3.8812683
3.9626484,3.8500609
3.7284675,3.8500609
4.1721888,4.0864763
3.8313725,3.7488732
3.8320467,3.8240502
3.811233,3.8240502
3.8637075,3.9254718
3.8373795,3.8375759
3.7580433,3.8375759
4.0642056,3.8245971
3.6028121,3.6994607
3.8067875,3.726356
3.5111272,3.6447444
3.8925655,3.7462344
3.9389904,3.8840973
4.1558933,4.1561117
3.984329,3.9757459
4.0250258,4.0556688
3.9662912,4.0657282
3.8231146,3.8716929
3.6695645,3.6842375
3.6917555,
3.8708167,3.8167498
3.7024362,3.8093791
3.6023521,3.7393825
3.804709,3.7579014
3.8281975,3.84973
3.8093145,3.8696423
3.753212,3.7539501
3.843673,3.7522731
3.860554,3.8077719
3.868217,3.821991
3.7726619,3.8240888
3.6605942,3.7704334
3.673929,
3.5850341,3.7026563
3.7958715,3.8598812
3.2555242,3.7554433
3.8594813,3.8053384
3.77719,3.7406592
3.8027773,3.7933261
3.7141001,3.7349496
3.9084938,3.8918669
3.6861508,3.8918669
3.9208462,3.9990733
3.7976089,3.9683864
3.8404703,4.0708942
4.2088032,4.1450777
4.0823679,4.0566955
4.142293,4.1611562
4.1577468,4.0510273
4.3307033,4.3214307
3.6877089,3.7559333
3.9140489,3.7559333
3.6944127,3.8072956
3.8827252,3.8072956
3.9190927,3.8072956
3.7661073,3.8766968
3.9701531,3.8134284
3.8786705,3.8949454
4.1005697,3.9826903
4.0238433,3.8638995
3.872673,3.754045
3.8078439,3.7582111
3.781595,3.7582111
3.8148563,3.757437
3.7460408,3.707449
4.1126695,4.0912099
3.985142,4.0912099
4.0655975,4.0957098
3.9764349,4.0957098
3.6952732,3.738004
3.9247665,3.8307767
3.8805988,3.8300407
3.9911399,3.8812683
4.0761056,3.8500609
3.8943224,3.8389044
3.7888808,3.7365117
4.2113018,3.8240502
3.4433472,3.7625341
3.7651253,3.7620275
3.8049319,3.7620275
3.9562526,3.7667305
3.6132338,3.6252913
3.752491,3.726356
3.4877872,3.7511976
3.5930114,3.7511976
3.5868328,3.7934382
3.6164744,3.7411466
3.7377663,3.7906692
3.6098733,3.7223148
3.7716475,3.7914135
3.822886,3.7914135
3.9935279,4.1151786
4.2007227,4.1151786
3.8164256,3.9757459
3.8440769,3.990227
3.6256349,3.7375078
3.7457993,3.763752
3.4465837,3.6379101
3.6691909,3.6355612
3.5126946,3.6112835
3.7702773,3.6693232
3.6848125,3.7393825
3.8261054,3.8250394
3.7608714,3.7579014
3.7187185,3.810699
4.1003428,3.84973
3.7530079,3.7800388
3.8612692,3.7539501
3.7485855,3.7522731
3.8215001,3.7522731
3.8494449,3.821991
4.1923609,4.0898881
3.9576001,3.8303313
3.8618138,3.7067001
3.3938298,3.6200325
3.552357,3.7026563
3.7505662,3.590878
3.5330768,3.6933949
3.7009184,
3.9560745,3.8321784
3.8220162,3.7933261
3.822973,3.8918669
3.7990971,
4.0246348,4.0708942
4.0898347,4.0566955
4.1717734,4.0510273
3.7962494,3.7559333
3.7420213,3.7559333
3.6874986,3.7188656
3.6104119,3.6996946
3.7972047,3.6828249
3.8039296,3.7566047
3.6574843,3.7566047
4.0968561,3.8949454
4.2034812,3.8720334
4.1434951,3.9160318
3.9841347,3.8567348
4.246778,4.1122727
4.1026349,3.8638995
4.2147441,4.0837622
3.819515,3.6727695
3.8938043,3.7275198
3.7896259,3.9233804
4.0540819,4.1114717
4.0801325,4.1114717
3.9711566,3.8417747
3.7733974,3.8300407
4.1503139,3.9880948
3.8953264,3.9673498
4.0537076,3.9568703
3.7367022,3.723161
4.1710992,3.7365117
3.5802035,3.7183411
3.7477517,3.7895668
4.0156116,3.9254718
4.0732765,3.7887402
4.0181966,4.0425625
3.7534146,3.7815711
3.5451179,3.8245971
3.6889572,3.7006273
3.586884,3.6252913
3.7449038,3.8191686
3.735851,3.7511976
3.8951688,3.7934382
3.783778,3.7028878
3.5337107,3.7028878
3.7269306,3.7144375
3.8251946,3.7144375
3.8165567,3.6777234
3.7104301,3.6008892
3.7747838,3.7462344
3.7208622,3.7652326
3.8755589,3.9948537
3.8690186,3.7375078
3.862282,3.7319453
4.0621223,3.8745034
3.769233,3.6792223
3.8365622,3.7884533
3.9427571,3.8414361
3.8599021,3.8093791
3.903688,3.8093791
3.8117001,3.8250394
3.8714225,3.8250394
3.7882504,3.7985349
3.6993754,3.7579014
3.8115165,3.7579014
3.9072084,3.7380769
4.2842131,3.8705473
3.9768937,3.840029
3.951036,3.8696423
3.9270968,3.7539501
4.0721822,4.1052427
3.8788211,3.7833929
3.9508622,3.8240888
3.7707906,3.8736663
3.8051298,3.8736663
3.7375555,3.8167543
3.7012672,3.7849321
3.6000323,3.8384929
3.6828971,3.7227995
3.9278376,
3.9283459,3.7026563
3.8154273,3.7026563
3.8760276,3.7139554
3.9398093,3.6685393
3.9745471,3.7372363
3.8097532,3.7372363
3.7456319,3.8321784
3.8589869,3.7933261
3.7630835,3.7349496
3.9103026,3.7437229
3.6864624,3.8918669
4.1136656,4.0356088
4.1679573,4.0760646
4.2652955,4.2395887
4.078208,4.3214307
3.6110394,3.6908679
4.0867577,4.0093236
4.1026874,3.8552294
4.0682878,3.9171891
3.7178438,3.7582111
4.1690516,4.2504339
4.1260076,4.1733122
3.6797531,3.794179
3.8841419,3.9673498
3.9120786,3.723161
3.7426519,3.7695053
3.743185,3.7488732
3.8315892,3.7492907
3.6114998,3.7753518
4.0142374,3.9005611
3.9084847,3.8921335
3.8901103,4.0114055
3.5933232,3.7411466
3.8459108,3.7007968
4.0626636,3.8846371
4.0561142,3.8548043
3.9952502,4.0438428
4.1598439,4.1561117
4.0769825,4.0838304
4.0578866,3.7432024
3.731437,3.6355612
3.7718937,3.6474442
3.9795847,3.8683167
3.8884993,
3.7152534,3.7522731
3.9014177,3.8077719
3.6575997,
3.6889226,
3.6878748,
3.8139179,
3.7972891,
3.7465611,
3.8550992,
3.828887,
3.9350686,3.7933261
4.0153956,3.8918669
4.324347,4.2464833
4.1382713,
4.0766635,
3.6324029,3.7559333
3.5920858,3.6828249
3.8664851,3.9866569
3.835552,3.9085763
3.7613709,3.8766968
4.0793805,3.8949454
4.0699353,3.9826903
3.9626055,3.8720334
3.9700658,3.8567348
3.9740949,3.8638995
4.0423613,4.0040488
4.132751,4.0040488
3.5039699,3.6644809
3.5647979,3.7062678
3.9571698,4.0550861
4.0548263,4.213532
3.8807201,4.0957098
4.0847344,3.8307767
3.8203382,3.7535553
3.8733225,3.851835
4.0828404,3.9385169
3.7540188,3.8500609
3.7123218,3.7365117
3.7871675,3.7162929
3.8290179,3.7625341
3.6330421,3.7895668
3.5129116,3.7753518
3.4700599,3.7815711
3.7969377,3.7006273
3.7337303,3.845598
3.5810254,3.6323555
3.8072,3.7934382
3.8458664,3.7411466
3.6360345,3.7144375
3.7424657,3.6777234
3.5088694,3.6777234
3.9281611,3.7914135
3.7886827,3.7343102
4.0185342,3.8548043
4.2014508,4.0684047
3.9381959,4.0057063
3.7903481,3.91537
3.8999734,3.8675478
4.0649905,3.990227
3.8101511,3.6842375
3.734107,3.763752
3.6278491,
3.6267924,3.6355612
3.6546645,3.6976213
3.7738068,3.8414361
3.7465913,3.7965226
3.8607512,3.8250394
3.9856348,3.8683167
4.0303631,3.810699
3.7561445,
3.793354,
3.7325153,3.7539501
3.7734056,3.7522731
3.8799105,3.7884881
4.157424,3.8815153
3.861671,3.8736663
4.0268712,3.8167543
3.7149696,3.7688329
3.8723497,
3.6740143,
3.7110231,
4.0998125,
3.5515015,
3.6728477,
3.7046404,
3.8217645,
3.5007548,
3.6263626,3.701807
3.4994767,3.7437229
3.719039,
4.0493155,4.0657396
4.0753093,4.0566955
4.5218005,
4.2287679,
3.6575587,3.7559333
3.7153931,3.7188656
3.5921345,3.7566047
3.8338685,3.9583793
4.0500031,3.9578738
4.4506931,4.0886006
3.4386621,3.6727695
3.4970751,3.7275198
3.9072759,4.1114717
3.7071161,3.7800374
3.7113237,3.8395896
3.4631667,3.7535553
3.6348729,3.8812683
4.0815754,4.0864763
3.5251071,3.7456629
3.6214542,3.7365117
3.5940809,3.7183411
3.4005225,3.7887402
3.6394231,3.7084291
3.7091131,3.9049246
3.6045275,3.8375759
3.1962385,3.8381293
4.0172911,4.0425625
3.3965664,3.8245971
3.8185904,3.7006273
4.0982165,3.8921335
3.5331571,3.4851732
3.5485477,3.7028878
3.6948891,3.7834206
3.6600847,3.8548043
4.1019239,4.132966
3.7911065,3.7319453
3.6834636,3.7432024
3.3471808,3.6953218
3.7502642,3.7112701
3.4869084,3.8093791
3.7665718,3.7393825
3.8569782,3.8146343
3.6652234,3.7740006
3.5847678,3.8544481
3.7999172,3.853543
3.843709,3.7522731
4.0959139,4.1052427
3.6827257,3.6655815
3.8491385,3.8240888
3.77423,3.8736663
3.6260777,3.7227995
3.4503989,3.7227995
3.6716833,3.6865568
3.5983672,3.5747786
3.7041273,3.6772957
3.5975187,3.6406913
3.8041813,3.7406592
3.974762,3.9800651
3.7343276,3.7349496
3.9371347,3.8918669
3.6511688,3.8918669
4.0052867,3.9844859
4.0668554,3.9659724
4.1440897,4.0599651
4.1809835,4.2243443
3.5574934,3.6996946
3.465596,3.8072956
3.5732334,3.8766968
4.0591154,3.8949454
3.96422,3.9160318
3.9536719,3.8638995
3.9835513,3.8661096
3.6447661,3.7582111
3.8073738,3.9233804
3.6342654,4.0912099
4.0276194,4.0517416
3.5113714,3.8469524
3.7830005,3.9673498
3.8587115,3.8500609
3.6719575,3.7695053
3.5969834,3.7488732
3.3985407,3.8240502
3.5757735,3.7492907
3.4812198,3.744427
3.695091,3.8174353
3.6110628,3.7511976
3.648488,3.7411466
3.7610683,3.7144375
3.6458299,3.6008892
3.5760016,3.6766553
3.4509323,3.7462344
4.102891,4.0438428
3.5860262,3.8010385
3.6482675,3.7600341
3.8718994,3.7375078
3.642993,3.7411025
3.7997458,3.6635437
3.5383146,3.8250394
4.0129547,3.8844159
3.5351419,3.7541761
3.5473676,3.8051758
4.1563544,3.853543
3.5604608,3.7539501
3.7065463,3.7522731
3.6839414,3.9113367
3.9299369,3.8240888
3.4188042,3.7543342
3.6513655,3.7227995
3.4565077,3.7117937
3.5727167,3.6865568
3.8699934,3.8233325
3.8246684,3.7393439
3.5242543,3.8160789
3.846525,3.7772267
3.6657221,3.7349496
4.0402508,4.0708942
4.2241273,4.2464833
4.2935615,4.1160097
4.4004464,4.263968
