clust_HDDS,clust_HDDS_ipczone_predict_m3
4.875,5.008729
4.25,4.9146781
5.375,5.4503684
5.375,5.4503684
5.6875,6.0106711
6.25,6.0106711
5.0625,5.0913963
5.5,6.0106711
5,5.0728879
5.5,4.6439033
4.4000001,4.972683
4.8125,4.6358681
4.6875,4.6358681
5.3125,5.0369906
5.3125,5.7817369
5.4000001,5.7817369
5.6875,5.4976163
4.875,5.4976163
6,5.3473802
5.3125,5.856421
5,5.1697011
4.8125,5.1697011
5.125,5.1697011
5.375,5.4043174
6.375,5.4043174
5.625,5.051065
5.25,4.7847519
3.8125,4.7847519
4.1875,4.7400451
4.25,4.7400451
4.1875,4.7824283
4.5,
5.875,5.0770435
5.375,5.0770435
5.0625,5.1697011
5.375,5.0719433
6.0625,5.4576893
6.375,5.7817369
6.3125,6.140491
5.0625,4.9785485
5.1875,4.9785485
4.4375,4.8797765
4.6875,4.9785485
5.0625,4.9785485
5.5625,4.9497609
4.5,5.278759
5.5625,5.5079508
5.9375,5.270988
5.25,5.5079508
5.375,5.5079508
6.25,5.270988
5.8125,5.6186547
5.625,5.8192654
4.8125,5.4686613
5.625,4.9638076
5.5,5.4686613
6.125,5.5079508
6,5.4686613
5.75,5.2726922
4.875,5.2726922
6.25,5.2726922
5,5.1027203
5.125,5.2698021
4.75,4.9804029
5.8125,4.9804029
4.375,5.0351295
4.75,5.0351295
5.625,5.1994181
5.75,5.1994181
5.625,5.1994181
4.5625,5.0910702
3.8125,5.0910702
4.25,5.0910702
4,5.0910702
4.4375,5.0910702
5.0625,4.9321709
5,4.9321709
4.875,4.9321709
4.125,4.9321709
4.8000002,4.9086528
5.1875,4.9086528
5.3125,4.9086528
4.875,4.9086528
5.6875,5.3780222
5.0625,5.3780222
5.4375,6.0316739
5.625,4.914309
5.4375,4.9120069
5.75,4.9120069
5.4375,4.5318818
5.25,5.0013299
5.75,5.405436
5.1875,5.405436
5.625,5.405436
5.5,5.7167053
5.4375,5.0450807
5.5625,5.602406
5,5.602406
5.25,5.602406
5.5,5.2145233
6.375,5.8842764
5.625,5.3191895
5.625,5.3191895
5.4375,5.2319393
6.0625,5.2319393
5.5,5.4060245
5.75,5.4791813
5.25,5.3114872
5.375,5.3114872
4.9375,5.3114872
5.4375,5.0477257
4.5625,5.0477257
4.6875,5.0477257
5.8125,
5.625,4.7510743
5.125,4.7510743
5.8125,4.7510743
5.4375,4.7525597
5.6875,4.7525597
5.0625,4.7525597
5.375,5.3080378
5.375,5.3080378
4.875,5.0368686
5.0625,5.2319393
4.4375,5.2319393
6.3125,5.7167053
6.25,6.1666503
6.4375,5.8842764
5.9375,5.8842764
4.8125,4.9649682
5.8125,5.5334144
5.5,5.6113415
5.75,5.7358179
4.875,5.599998
6.125,5.599998
6.125,5.6113415
4.75,5.2052026
4.625,5.2423277
5.375,4.9271059
5,4.9271059
4.8125,4.9271059
5.1875,5.0440965
4.375,5.0440965
5.4375,5.177814
5.125,5.1148286
5.5,6.1476688
4.875,4.9975615
