clust_HDDS,clust_HDDS_TA_predict_m3
4.25,4.8488822
5.375,5.1681366
5.375,5.1681366
5.6875,6.1402621
6.25,6.1402621
5.0625,5.7138672
5.5,5.8545017
5,4.8790078
5.5,5.0042787
4.4000001,4.5775909
4.8125,4.5910611
4.6875,4.5341458
5.3125,4.6733236
5.3125,5.0281458
5.4000001,5.1465621
5.6875,5.0642877
4.875,5.3427472
6,5.3311677
5.3125,5.0251532
5,4.9114156
4.8125,4.9892044
5.125,4.9892044
5.375,5.287261
6.375,6.3207507
5.625,5.3265157
5.25,4.8526974
3.8125,4.7394919
4.1875,4.6302857
4.25,4.280654
4.1875,4.740026
4.5,
5.875,5.2431154
5.375,5.0312047
5.0625,5.2884507
5.375,
6.0625,5.9511318
6.375,5.921701
6.3125,6.0281219
5.0625,4.9272127
5.1875,4.9272127
4.4375,4.7312751
4.6875,4.7680235
5.0625,4.8252888
5.5625,4.930326
4.5,4.930326
5.5625,5.3695297
5.9375,5.1653605
5.25,5.126081
5.375,5.0854998
6.25,5.8980165
5.8125,5.3665872
5.625,5.7809491
4.8125,4.6747437
5.625,4.8283067
5.5,5.3842316
6.125,6.1446042
6,6.1446042
5.75,5.1096263
4.875,5.1692986
6.25,5.5965738
5,5.3242717
5.125,5.2668133
4.75,4.8749247
5.8125,4.9075823
4.375,4.9153471
4.75,4.8877678
5.625,5.3276505
5.75,4.9297261
5.625,5.7906013
4.5625,5.0807633
3.8125,5.1433139
4.25,4.79001
4,4.3778014
4.4375,5.1142321
5.0625,4.8401756
5,4.9811888
4.875,4.6377497
4.125,4.6377497
4.8000002,4.8350315
5.1875,4.8350315
5.3125,4.7489758
4.875,4.5286846
5.6875,5.0537572
5.0625,5.060679
5.4375,5.8181219
5.625,4.8790078
5.4375,4.8417749
5.75,5.3994484
5.4375,4.7124534
5.25,4.9609318
5.75,5.2003069
5.1875,5.1926293
5.625,5.1926293
5.5,5.1465621
5.4375,5.1465621
5.5625,5.2989006
5,5.0642877
5.25,5.0642877
5.5,5.0066404
6.375,5.3798227
5.625,5.0948653
