clust_HDDS,clust_HDDS_clust_predict_m3
5.375,5.3109474
5.375,4.8072343
5.6875,6.0320177
6.25,6.3343849
5.0625,5.6470304
5.5,5.856266
5,4.9796634
5.5,
4.4000001,4.3326249
4.8125,4.8834457
4.6875,4.4914999
5.3125,4.6725149
5.3125,5.3466883
5.4000001,5.2117295
5.6875,5.1316323
4.875,5.3942771
6,5.6253128
5.3125,5.0871649
5,5.0267425
4.8125,4.6222692
5.125,5.0085983
5.375,5.1004605
6.375,6.287941
5.625,6.0422173
5.25,5.0827136
3.8125,4.7009354
4.1875,4.3717985
4.25,4.3863511
4.1875,4.5858297
4.5,
5.875,5.3359737
5.375,4.9705095
5.0625,
5.375,
6.0625,6.0225916
6.375,6.0955482
6.3125,6.1763582
5.0625,4.8347316
5.1875,4.8921804
4.4375,4.420712
4.6875,4.8656788
5.0625,4.8647661
5.5625,5.2399049
4.5,4.6220951
5.5625,5.2888327
5.9375,5.2451777
5.25,5.1483779
5.375,4.9677801
6.25,5.9299746
5.8125,5.1948967
5.625,5.6855869
4.8125,4.9379416
5.625,5.0115738
5.5,5.1830196
6.125,6.4374804
6,6.020494
5.75,5.0840883
4.875,5.0673394
6.25,5.6330228
5,5.0816574
5.125,5.1465726
4.75,4.7625103
5.8125,5.5048018
4.375,4.8712268
4.75,4.6461029
5.625,5.3553481
5.75,5.1997495
5.625,5.2074623
4.5625,4.905869
3.8125,4.9062185
4.25,4.6749487
4,4.3388162
4.4375,5.1013875
5.0625,5.1136265
5,5.2667818
4.875,4.505198
4.125,4.6398077
4.8000002,4.7525725
5.1875,
5.3125,
4.875,
5.6875,5.3877811
5.0625,5.0584126
5.4375,5.8911529
5.625,5.1244769
5.4375,4.6402087
5.75,5.4396524
5.4375,4.7366514
5.25,4.9766679
5.75,4.9179811
5.1875,5.1428127
5.625,4.9635868
5.5,5.2339635
5.4375,5.1574612
5.5625,5.2756395
5,4.8696079
5.25,5.0794735
5.5,5.317739
6.375,5.9759727
5.625,5.0622072
5.625,5.1478801
5.4375,4.8405132
6.0625,6.0603528
5.5,5.0080204
5.75,5.3615561
5.25,5.0248985
5.375,5.4817748
4.9375,4.7995472
5.4375,5.0820246
4.5625,4.9229569
4.6875,4.9003038
5.8125,
5.625,4.6473746
5.125,4.6566591
5.8125,4.7083383
5.4375,4.7116699
5.6875,5.0295339
5.0625,4.7076802
5.375,
5.375,4.9822917
4.875,4.9634252
5.0625,5.0571017
4.4375,5.2134871
6.3125,5.8738146
6.25,6.2892213
6.4375,6.8903346
5.9375,6.4788613
4.8125,4.7456613
5.8125,5.2571192
5.5,5.0054541
5.75,5.2193832
4.875,5.1725955
6.125,5.9960995
6.125,6.2323079
4.75,4.9621553
4.625,5.2456403
5.375,4.8826718
5,4.969377
4.8125,4.8303161
5.1875,5.1520038
4.375,5.1989179
5.4375,5.1425004
5.125,5.2038832
5.5,5.9420238
4.875,4.6511717
5.5625,4.7180829
6.125,5.3636203
5.625,5.5391011
6,5.7777166
6.4375,6.4323215
6.3125,6.1853442
5.5625,4.9128237
4.75,4.3650217
5.125,4.5231919
5.75,5.2289915
5.4375,
4.75,4.8908205
5.875,5.2091475
4.875,
4.6875,
5,
5.4375,
5.375,
5.125,
5.4375,
5.3125,
5.375,4.9662824
5.625,5.4336829
6.5625,6.4859638
6.125,
6.25,
4.8125,5.0098009
4.8125,4.9337687
6.125,5.8297291
5.375,5.08882
4.625,5.2969584
5.8125,5.6444464
5.5625,5.2494307
5.25,5.1660399
5.375,5.2090454
5.5,5.040144
5.625,5.6174741
6.125,5.8015566
4.3125,4.8458295
4.6875,4.9399161
6,6.2014375
6.0625,6.6113238
5.375,5.8168836
6.3125,5.2544293
5.1875,4.5363626
5.3125,5.1288786
5.9375,5.2496109
4.5625,4.7934012
4.8125,4.8183117
5.1875,4.8815298
4.875,5.2562833
5.0625,5.1256943
4.75,4.9739022
3.875,4.7501717
4.5,4.6873574
4.5,4.7650056
4.0625,4.422647
5,5.3760767
5.6875,5.3109207
4.875,
4.5,
3.875,4.6409645
5.5625,5.2379274
5.3125,5.0681624
5.9375,5.3592811
6.5,6.3542523
6.0625,5.9002552
5.3125,5.4176412
5.8125,5.2267547
6.25,5.8724208
5.0625,5.0059619
4.875,
3.75,
4.4375,4.4227839
4.75,4.6540699
5.0625,5.1371074
4.75,5.2945876
5.375,5.1717038
6,5.44558
5.9375,5.5255032
5.375,
5.375,
5.0625,4.9860358
5,4.963089
5.5625,5.317472
5.875,5.727674
5.125,5.1415334
5.75,5.2374392
4.6875,5.1224923
5.6875,
5.0625,
5.125,
6.125,
4.75,
4.8125,
4.875,
5.5,
4.125,
4.75,4.6351223
4.125,4.9678383
4.8125,
6.0625,5.5678506
6,5.9806647
6.75,
6.25,
5.375,5.071403
4.9375,5.0352139
4.75,4.9530411
5.75,5.6831684
5.5,5.2967587
6.6875,6.4997478
4.25,4.6015458
4,4.9304109
5.6875,6.1260099
5.375,5.2931638
4.875,5.1509795
4.5,4.2476029
3.875,4.9608803
5.6875,5.7327495
4.0625,4.807282
4.3125,4.8081903
4.875,5.2687573
3.5625,5.0145292
4.0625,4.7149048
4.3125,5.3495994
3.75,4.9825115
