clust_logFCS,clust_logFCS_clust_predict_m3
3.8594813,3.8746741
3.77719,3.7984586
3.8027773,3.8228283
3.7141001,3.8289621
3.9084938,3.916064
3.6861508,3.8498964
3.9208462,4.0178642
3.7976089,3.8423078
3.8404703,4.0552306
4.2088032,4.1625571
4.0823679,4.072906
4.142293,4.1541305
4.1577468,4.0809865
4.3307033,4.3480816
3.6877089,3.7003229
3.9140489,3.8633347
3.6944127,3.8173225
3.8827252,3.8198402
3.9190927,3.8408628
3.7661073,3.8203371
3.9701531,3.8506045
3.8786705,3.7903414
4.1005697,3.9138439
4.0238433,3.920862
3.872673,3.7331676
3.8078439,3.7207429
3.781595,3.6913087
3.8148563,3.712517
3.7460408,3.6867087
4.1126695,4.0839648
3.985142,4.1013412
4.0655975,4.0614948
3.9764349,4.1128721
3.6952732,3.7378078
3.9247665,3.7358878
3.8805988,3.8239641
3.9911399,3.93801
4.0761056,3.8415091
3.8943224,3.8548281
3.7888808,3.685955
4.2113018,4.1896029
3.4433472,3.6870253
3.7651253,3.8557634
3.8049319,3.6884212
3.9562526,3.7676768
3.6132338,3.6556687
3.752491,3.6740201
3.4877872,3.7508316
3.5930114,3.7664135
3.5868328,3.734853
3.6164744,3.6945245
3.7377663,3.8342485
3.6098733,3.5999742
3.7716475,3.8434725
3.822886,3.7553558
3.9935279,4.0844388
4.2007227,4.1697879
3.8164256,3.9396119
3.8440769,4.0137229
3.6256349,3.7630804
3.7457993,
3.4465837,3.599611
3.6691909,3.7126665
3.5126946,3.6417823
3.7702773,3.6612217
3.6848125,3.8593259
3.8261054,3.8133464
3.7608714,3.7858133
3.7187185,3.8460553
4.1003428,3.9229286
3.7530079,3.8000166
3.8612692,3.7779269
3.7485855,3.6574316
3.8215001,3.7652094
3.8494449,3.7807744
4.1923609,4.0968652
3.9576001,4.0792847
3.8618138,3.7612808
3.3938298,3.6320746
3.552357,3.646925
3.7505662,3.6373684
3.5330768,3.6637757
3.7009184,
3.9560745,3.8486853
3.8220162,3.7661061
3.822973,
3.7990971,
4.0246348,4.0767522
4.0898347,4.1084442
4.1717734,4.1160913
3.7962494,3.7208242
3.7420213,3.7550099
3.6874986,3.6678548
3.6104119,3.7291317
3.7972047,3.691849
3.8039296,3.8382716
3.6574843,3.6544549
4.0968561,3.9060371
4.2034812,3.8825512
4.1434951,3.9212286
3.9841347,3.8301551
4.246778,4.1142192
4.1026349,3.7940724
4.2147441,4.0644274
3.819515,3.7341278
3.8938043,3.7706916
3.7896259,3.8359835
4.0540819,4.1829929
4.0801325,4.0841551
3.9711566,3.8362176
3.7733974,3.8224738
4.1503139,3.981564
3.8953264,3.8631365
4.0537076,3.919507
3.7367022,3.6750805
4.1710992,3.8845599
3.5802035,3.6900878
3.7477517,3.7088449
4.0156116,3.8904798
4.0732765,3.8624933
4.0181966,3.8697903
3.7534146,3.7204561
3.5451179,3.7375906
3.6889572,3.6979585
3.586884,3.6078501
3.7449038,3.7803156
3.735851,3.8410132
3.8951688,3.8999624
3.783778,3.6554668
3.5337107,3.7178736
3.7269306,3.7148769
3.8251946,
3.8165567,
3.7104301,
3.7747838,3.8786988
3.7208622,3.7785265
3.8755589,4.0114856
3.8690186,3.7995536
3.862282,3.6827621
4.0621223,3.9000216
3.769233,3.6374707
3.8365622,3.7669287
3.9427571,3.7587137
3.8599021,3.7887483
3.903688,3.7311058
3.8117001,3.8177893
3.8714225,3.8526223
3.7882504,3.8279667
3.6993754,3.7283027
3.8115165,3.7637603
3.9072084,3.8452103
4.2842131,4.0286031
3.9768937,3.8021073
3.951036,3.7817366
3.9270968,3.7503202
4.0721822,4.075139
3.8788211,3.7720182
3.9508622,3.8350537
3.7707906,3.842509
3.8051298,3.9508064
3.7375555,3.7246983
3.7012672,3.807368
3.6000323,3.7596736
3.6828971,3.7572997
3.9278376,
3.9283459,3.7043474
3.8154273,3.7095046
3.8760276,3.7288578
3.9398093,3.6655447
3.9745471,3.7941055
3.8097532,3.7210979
3.7456319,
3.8589869,3.8160698
3.7630835,3.7733676
3.9103026,3.7957194
3.6864624,3.8626151
4.1136656,4.0463972
4.1679573,4.1256461
4.2652955,4.329093
4.078208,4.2176089
3.6110394,3.6635704
4.0867577,3.9882514
4.1026874,3.8528893
4.0682878,3.8615432
3.7178438,3.7932861
4.1690516,4.1019711
4.1260076,4.1578813
3.6797531,3.8132451
3.8841419,3.9281332
3.9120786,3.7638361
3.7426519,3.7632592
3.743185,3.7479911
3.8315892,3.7872252
3.6114998,3.8090763
4.0142374,3.8833659
3.9084847,3.8055801
3.8901103,4.0184307
3.5933232,3.7195439
3.8459108,3.6960361
4.0626636,3.8504593
4.0561142,3.9506822
3.9952502,3.9900484
4.1598439,4.209897
4.0769825,4.0851421
4.0578866,3.775064
3.731437,3.5918064
3.7718937,3.6466014
3.9795847,3.7932799
3.8884993,
3.7152534,3.761591
3.9014177,3.8072207
3.6575997,
3.6889226,
3.6878748,
3.8139179,
3.7972891,
3.7465611,
3.8550992,
3.828887,
3.9350686,3.8126924
4.0153956,3.9461842
4.324347,4.2884145
4.1382713,
4.0766635,
3.6324029,3.761224
3.5920858,3.71278
3.8664851,3.9896266
3.835552,3.8610532
3.7613709,3.8829298
4.0793805,3.9626827
4.0699353,3.9597313
3.9626055,3.873477
