clust_RCSI,clust_RCSI_TA_predict_m3
12.3125,4.46277
5.352941,4.3421764
5.0799999,3.8763492
4.2857141,4.3564258
.8125,5.6431537
10.842105,3.3957143
2.0869565,3.8931046
2.1500001,5.2100315
3.090909,3.8760922
2.25,9.1803303
2.8888888,3.542125
8.2857141,3.8590295
7.0454545,7.5583692
3.3809524,3.5618956
2.2222223,6.8603311
3.8571429,7.0197306
4.1428571,2.3639004
1.1363636,4.7763662
4.1999998,7.8888125
3.25,4.4597483
4.1999998,6.2641087
7.5454545,6.2989116
3.5263157,6.3438544
10.166667,6.1612496
4,6.1592622
8.5625,6.9754601
6.2105265,9.1791658
9.4705887,7.6136093
2.3181818,4.6103673
8.2631578,4.9536991
4.4705882,4.46277
3.8823528,4.1298223
6.125,3.3774686
3.6111112,4.2335563
2.0555556,3.3239999
4.8888888,3.8973203
1.7619047,4.5206532
.86666667,4.5206532
1.25,4.3887024
.2631579,4.3887024
.8125,5.0446544
2.5294118,4.1271529
.625,3.4040403
3.0999999,4.3811412
3.5,3.3011308
5.0500002,3.2466109
3.652174,4.7317324
1.1304348,4.1686473
3.9130435,4.4787831
3.1481481,4.2631631
1.7777778,4.252121
1.8333334,3.8760922
5.8888888,4.0058169
8.6499996,3.7927763
4.4347825,3.542125
4.3888888,3.8590295
4.4583335,4.3891015
1.6666666,3.7243681
5.75,4.0055137
11.85,4.0055137
2.75,4.5967503
2.7894738,2.7944422
1.3214285,2.3639004
.90909094,2.9040546
2.8636363,2.5654221
1.6842105,2.5654221
7.652174,2.5679164
.15000001,1.3369492
4.125,2.5654221
4.4375,2.6134408
3.8125,2.6319871
4.8421054,4.9797087
7,5.1027365
7.4705882,5.6161537
4.3684211,4.9149494
3.1904762,4.7699599
3.4705882,4.7699599
2.3,3.720871
8.0526314,3.6737571
2.4736843,5.6359377
8.4210529,4.0170536
2.1428571,3.9984291
7.0952382,3.798969
13.722222,4.6178155
10.714286,4.2689695
2.5238094,3.4701204
12,5.6467447
9.25,5.2628822
3.75,4.3392677
4.6666665,4.3392677
4.6111112,2.4721332
4.1176472,4.3585935
3,2.4764421
5.909091,2.2726176
1.5263158,2.8051801
3,2.9416838
3.4000001,2.2255688
4.125,2.9875638
3.3125,3.3723733
2.8636363,4.2335563
2.5882354,4.557672
.78947371,4.557672
3.1818182,3.3239999
3.5882354,4.4755559
3.5,3.8227367
3.3529413,4.2335563
2,4.3811412
4.4666667,4.3811412
2.4375,5.0446544
2.4736843,5.0446544
.095238097,3.5323229
2.2608695,4.2889438
3.3,4.6055112
7,5.3159928
1.7826087,4.3082485
4.5714288,4.252121
2.72,4.0058169
2.6111112,4.1610112
3.1500001,3.7927763
5.1999998,3.7224793
5.3157897,3.9810514
7.1500001,4.3610435
6.6666665,4.3610435
6,4.0075817
2.7391305,3.8652763
3.2592592,5.202755
4.352941,3.4428294
4.7222223,4.5967503
.75,2.3639004
2.8,1.9154123
4.3000002,4.7763662
2.6842105,4.5983725
4.6999998,4.5983725
6.8571429,4.2497993
1.2857143,4.2497993
4.4761906,5.14293
2.3529413,3.9914496
3.0454545,3.9914496
2.8571429,3.3322983
1.9375,3.9476199
3.5,3.1761458
4.0526314,3.4101057
6.1875,4.6178155
10.55,5.8711128
8.043478,5.6467447
7.1052632,5.4001632
4.5238094,4.0711956
3,4.8172417
7.818182,4.8172417
3.2777777,2.9178965
4,2.3781915
1.9130435,3.0353901
5.3333335,2.4961867
1.1578947,3.5157876
5.1428571,2.2127542
3.4761906,1.7790178
