"","yearmon","CHIRADZULU","MISUKU","NTCHISI","NSUNDWE","BALAKA","RUMPHI","DWANGWA","CHIKWAWA","LIMBE","LUNZU","NCHALO","NGABU","CHITIPA","NTHALIRE","BEMBEKE_TURNOFF","CHIMBIYA","MTAKATAKA","THETE","BOWE","DOWA","MADISI","MPONELA","NAMBUMA","CHILUMBA","KARONGA","CHAMAMA","CHATOLOMA","KASUNGU","NKHAMENYA","SANTHE","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","LIWONDE","NAMWERA","NTAJA","MANGOCHI","MONKEY BAY","MCHINJI","MKANDA","MULOZA","MWANZA","EMBANGWENI","JENDA","MZIMBA","MZUZU","NENO","CHINTHECHE","MPAMBA","NKHATABAY","MWANSAMBO","NKHOTAKOTA","BANGULA","NSANJE","LIZULU","NTCHEU","NTONDA","SHARPEVALEY","TSANGANO_TURNOFF","MALOMO","PHALOMBE","HEWE","SALIMA","BVUMBWE","LUCHENZA","JALI","MAYAKA","THONDWE","ZOMBA","MIGOWI"
"104","201607",1,1,1,0,0,0.4,1,0.4,0.8,0,0,0.6,0,1,1,0.4,0.8,0.2,1,1,1,0.8,1,0.4,0,1,0.2,0.2,0.4,1,0.8,0,0.8,0.2,0.2,1,1,0,0,0.2,0.6,1,1,0.8,0.8,0.2,0.8,0,0,0.2,1,0.4,0.4,1,1,0,1,0.8,0.4,0.4,0.6,0.4,0.6,1,0.2,1,1,1,0,0.8,1,1
"105","201608",1,0,1,0,0,0.666666666666667,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1,1,0,1,0.333333333333333,1,1,1,0.666666666666667,1,0,0,1,0,1,0.333333333333333,1,0,0,0.333333333333333,1,0.666666666666667,1,1,0,0.333333333333333,1,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0,1,0,0.333333333333333,0.333333333333333,1,0,0.333333333333333,1,1,0,1,0.666666666666667,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0.666666666666667,1,1,1,1,0.666666666666667,1,1,1
"106","201609",1,0.333333333333333,1,0,1,0.333333333333333,1,1,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,1,1,0.666666666666667,1,0.666666666666667,1,1,1,0.666666666666667,1,0,0,1,0,1,0,1,0.666666666666667,1,0.333333333333333,1,0,1,1,0,1,1,1,1,1,0.333333333333333,1,0,1,1,0.666666666666667,0.666666666666667,1,0,0.333333333333333,1,1,1,0.666666666666667,0.333333333333333,0,0.666666666666667,1,0.333333333333333,0.333333333333333,0.333333333333333,1,1,1,1,0.333333333333333,1,1,1
"107","201610",1,1,1,0,1,0,1,1,0.666666666666667,1,1,1,1,1,1,1,1,0.333333333333333,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0.333333333333333,1,0.333333333333333,1,1,1,0,1,1,1,1,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333,1,0,0.333333333333333,1,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0,1,1,0,1,1,1,1
"108","201612",1,1,0.25,0,0.75,0.5,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.5,1,0,1,0.25,1,1,0.25,0,0,0.25,1,1,0.25,0,1,0.25,1,1,0.25,1,0.25,0,0,0.25,1,0.25,1,0.25,1,1,1,1,0.25,1,1,1,0,1,1,0.25,1,1,0,0,1,0,1
"109","201701",1,0.8,1,0,0,0.2,0.6,1,1,0,1,1,0.8,1,1,0.8,1,1,1,0.2,1,0.8,1,0.8,0.2,1,0.8,1,1,1,1,1,0,0,0,1,0.2,0,0,1,0,1,1,1,1,0,0.2,0,0,1,0.2,0,0.6,1,1,0,1,0.2,1,1,1,1,0,0.6,0.2,1,1,1,1,1,1,1
"110","201702",1,0.25,0.75,0,0,0,1,1,1,0,1,1,0.25,1,1,0.25,1,0.75,1,0.75,1,0.75,1,0,0,0.5,0.5,1,1,1,1,0.75,0,0,0.75,1,0.75,0,0.25,1,0.25,1,1,1,1,0,1,0.25,1,0.5,1,1,0.5,1,0.75,0.25,1,1,1,1,1,0.75,0.25,1,0,1,1,1,0.25,1,1,1
"111","201703",1,1,0,0,0,0.666666666666667,1,1,1,0,1,1,1,1,1,1,1,0,1,0.333333333333333,1,0.333333333333333,1,0,0,0.666666666666667,0.666666666666667,1,1,1,0,0,0,0,0,1,0,0,0,1,0.333333333333333,1,1,1,0.333333333333333,0.333333333333333,1,1,1,1,1,0.333333333333333,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1
"112","201704",1,1,0,0,0,0.75,0,1,1,0,1,1,1,1,0.75,0.75,0.75,0,1,0.5,1,1,1,0,0.25,0.5,0,0.25,0,1,0.25,0,0,1,0.25,1,0.25,0,0,0.5,0,1,1,1,0,0,1,0,1,1,1,1,0.75,1,1,0,1,0.25,1,0,1,0,0,1,0,1,1,1,1,1,1,1
"113","201705",1,1,0,0,0,0,0,0.666666666666667,0.333333333333333,0,1,1,1,1,0,0,0,0,1,0.333333333333333,1,0.666666666666667,1,0,0,0.666666666666667,0,0.333333333333333,0.666666666666667,1,1,0,0,1,0,1,1,1,0,0,0,0.333333333333333,1,1,0,0,1,0,0,0.666666666666667,1,0.666666666666667,1,1,1,0,1,0.333333333333333,1,0,1,0,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.666666666666667,0,1,1,1
