"","yearmon","CHIRADZULU","MISUKU","NTCHISI","NSUNDWE","BALAKA","RUMPHI","DWANGWA","CHIKWAWA","LIMBE","LUNZU","NCHALO","NGABU","CHITIPA","NTHALIRE","BEMBEKE_TURNOFF","CHIMBIYA","MTAKATAKA","THETE","BOWE","DOWA","MADISI","MPONELA","NAMBUMA","CHILUMBA","KARONGA","CHAMAMA","CHATOLOMA","KASUNGU","NKHAMENYA","SANTHE","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","LIWONDE","NAMWERA","NTAJA","MANGOCHI","MONKEY BAY","MCHINJI","MKANDA","MULOZA","MWANZA","EMBANGWENI","JENDA","MZIMBA","MZUZU","NENO","CHINTHECHE","MPAMBA","NKHATABAY","MWANSAMBO","NKHOTAKOTA","BANGULA","NSANJE","LIZULU","NTCHEU","NTONDA","SHARPEVALEY","TSANGANO_TURNOFF","MALOMO","PHALOMBE","HEWE","SALIMA","BVUMBWE","LUCHENZA","JALI","MAYAKA","THONDWE","ZOMBA","MIGOWI"
"73","201312",0.5,0,0.833333333333333,0,0.5,0.666666666666667,0.333333333333333,1,1,0,1,1,0.166666666666667,0.5,0,0.666666666666667,0.166666666666667,0,1,0.833333333333333,0.833333333333333,1,0.833333333333333,0.333333333333333,1,1,0.333333333333333,1,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0,0.833333333333333,1,1,0.333333333333333,0.666666666666667,1,1,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.833333333333333,0.666666666666667,0.666666666666667,1,0.5,0.5,0.666666666666667,0.166666666666667,0.833333333333333,0.5,0.666666666666667,0.5,0.666666666666667,1,0,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,1
"74","201401",0.5,0,0.75,0.5,0,0,0.5,1,0.5,0,0.25,1,0,0,0,0,0.75,0,1,0.5,0.5,0.25,0.5,0,0,0.75,0.5,1,0,0,0.5,0.5,0.25,1,0.25,0.25,0.75,0.5,0.25,0.25,0,1,0.25,0,0.5,0,0.25,0.75,0,0,0.5,0.25,0.5,0.25,0.25,0.75,0,0,0,0.25,0,0.25,0.25,0.5,1,0,0.5,0.75,0.25,0.25,0.75,1
"75","201402",0.5,0.5,0.75,1,0.5,0.5,0.25,1,0.75,0.75,1,1,0.25,1,1,0.25,0.75,1,1,1,1,1,1,0.5,0.25,0.5,0.75,0.75,1,1,0.75,1,1,1,1,0.75,1,1,0.75,0.75,0.75,1,0.25,0.75,1,0.25,1,1,0.75,0.25,1,0.5,0.75,0.75,1,1,0.75,0.5,0.75,1,0.25,0.5,0.75,1,1,0.25,1,0.5,1,1,1,1
"76","201403",0.8,0.8,0.8,0,0.8,0,0,1,0.8,0,0.2,0.2,1,0,0,0.8,0,0,1,0,1,0.8,1,0.8,0.8,1,0.6,1,0.2,0.8,0,0,0,0,0,0.2,1,0.8,0,0.8,0.8,1,0.8,0,0.8,0.8,0.8,0.8,1,0,0,0,0.8,0,0.8,1,0.8,0,0.8,0.6,0.2,0.8,0.8,0,1,0,0,1,1,1,0.8,1
"77","201404",0.25,0.25,0,0,0.25,0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0,1,0.25,1,0.25,0.25,0,0.25,1,0,1,0.75,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,1,0.25,0.25,0,0.25,0.25,0.25,1,0.25,0.25,0,1,0.25,0,0.25,0,0,0.25,1,0,0.75,0.25,0.25,1,0,0,0.75,0,1,0.25,1
"78","201405",0,0,0.5,0,0,0,1,1,0,0,0,0.25,0,1,0,0,0.75,0,1,0,1,0,0,0,0,0,0,1,0.75,0,0.25,0,0.25,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0.75,0,0,0.25,1,0.25,0,0,0,0.25,1,0,1,0,0.25,0,0.25,0,0.25,1,0,1,0,1
"79","201406",1,0,1,0,1,0,0,1,1,0,0.8,0.2,0,0,0.2,0.4,0.8,0.2,1,1,1,0,0.8,0,0,1,0.2,1,1,1,0.8,0.2,0.2,1,0.2,0.2,1,1,0.4,0.8,0,1,0.2,0,1,1,1,0.6,0.2,0,1,0.2,1,0.8,1,0,0.8,0.2,1,1,0.4,0.4,1,1,0.2,0.4,0,1,1,1,0.6,1
"80","201407",0.5,0,1,0,1,0.5,0.5,1,1,0.25,0.25,1,0.5,0.75,0,1,0.75,0.75,1,1,1,0.25,0.75,0.5,0.5,1,1,0.75,1,1,0.75,1,1,1,0.25,1,1,1,1,0.5,0.75,1,0.5,0.75,1,1,1,0.75,1,1,0.75,0.25,1,0.25,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0,1,1,0.75,0.5,0.75,1,1,1
"81","201408",0.2,0.2,0.8,0,0,0.4,0.2,0.6,0.6,0,0.2,0.2,0.4,0.4,0.2,0.6,0.8,0.2,0.8,0.4,0.4,0.4,0.8,0.4,0.6,0.8,0.6,0.4,0.8,0.8,0.2,0.8,0.6,0.2,0.2,0.2,0.8,0.8,0.6,0.2,0.6,0.2,0.2,0.4,0.6,0.4,0.6,0.6,0.4,0.4,0,0.6,0.6,0.8,0.2,0,0.4,0.2,0.4,0.8,0.2,0,0,0.6,0.4,0.8,0.4,0.4,0.2,0.2,0.2,0.8
"82","201409",0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75
"83","201410",1,0,1,0,1,0,0,1,1,1,1,0.5,0,1,0,0,0.75,0,1,1,1,0.5,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0.75,0.75,0.75,1,1,0,0.75,0.75,1,0,0,0,1,1,0.25,1,1,1,1,0.5,0.25,1,1,0.5,1,0.5,0,1,1,0.75,0.75,1,0,1
"84","201411",1,0.8,1,0,1,0.8,0.6,1,1,0.8,0.8,0.6,1,1,0,0.2,0.8,0,1,0.8,1,0.8,0.2,0,0.8,1,1,1,0.8,0.8,0.2,0.4,0,0.2,0.8,1,0.8,0.2,0.8,0.4,0.4,0.2,0.8,0,0.8,0.6,0.8,0.2,0.8,0.8,1,1,0.6,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0.6,0,0,1,1,0.4,0.8,0.6,1,1
"85","201412",1,0.75,1,0.5,1,0.75,0.75,1,1,0.75,1,1,0.75,1,0.5,0.5,1,0.75,1,1,0.75,0.5,1,0.5,0.5,1,1,1,0.75,0.5,1,0.75,0.25,0.75,0.75,1,0.75,0.5,0,0.5,1,1,1,0.5,0.75,0.75,1,0.5,0.25,0.25,1,1,0.75,1,0.5,0.25,1,0.5,0.75,1,1,0.75,0.75,0.75,0.25,1,1,1,0.75,1,1,1
"86","201501",1,1,1,0,0.25,0.5,0.75,1,0.75,1,0.75,1,0.25,1,0.75,0.5,1,0.25,1,0.5,1,0.25,1,0.5,0.75,0.75,0.75,1,1,0.75,0.5,0.5,0,0.25,0.25,1,0.25,0.25,0,0.25,1,1,0.75,0.5,0.5,0.25,1,0,0.5,0.25,0.75,0.5,0.75,1,0.75,1,0.75,0.25,0.25,0.5,0.25,0.25,0.75,0.5,1,1,1,0,1,0.75,1,1
"87","201502",1,1,1,0.25,1,0,0.75,1,0.25,0.75,0.5,1,0.25,1,1,0.75,1,0.5,1,0.75,1,0.75,1,0.5,1,1,1,1,1,0.25,0.75,1,0.25,0.5,0,1,0.75,1,0.5,0.5,1,1,1,0,0.5,0.25,0.5,0.5,0.5,1,0.75,1,0.75,1,1,1,1,0.5,0.5,1,0.5,0.75,0.75,0,1,1,1,1,1,1,0.25,1
"88","201503",1,0.4,1,0.2,0.8,0.4,0.8,1,1,0.2,0.8,1,0.4,1,0,1,1,0.8,1,1,0.8,0.6,0.2,0.6,0.2,1,1,1,0.8,1,0.8,0.8,0,0.8,0.2,1,0.8,0.8,0,1,0.8,1,0.8,0.2,0.6,0.2,0.6,0.4,0.6,1,1,1,0.6,0.8,1,1,0.4,0.6,0.6,1,0.4,0.2,0.2,0.4,0.8,1,0,0.6,1,0.8,1,1
"89","201504",1,0.25,1,1,0.25,1,0.75,1,1,0,1,1,0.75,1,0.25,1,1,0.75,1,1,0.75,0.75,1,1,0,1,1,1,1,1,1,0.25,0,1,1,1,1,0.75,0,1,1,1,1,1,1,0,1,0,0.5,1,1,1,1,1,1,1,1,0,1,1,0.75,0.75,1,1,0,1,0.75,1,1,1,1,1
"90","201505",0.4,0.2,1,0,0.4,1,0.2,0.8,1,0.2,0.2,0.2,0,0.2,0.2,0.2,0.6,0.4,0.4,0.4,1,0.8,1,0,0,0.4,0.4,0.6,0.4,0.2,0.4,0.2,0,0.2,0.2,1,0.4,1,0,0.4,0.2,0.4,0.2,0.4,0.2,0,0.2,0.4,0,0.2,0.2,0.2,0.4,0.4,0.4,0.8,0.8,0.4,0.2,1,0.2,1,0.8,1,0.2,1,0.8,0.4,1,1,1,1
"91","201506",1,0.25,1,0.5,0.75,0.5,0.25,1,1,0.75,0.5,0.75,0.5,0,0.25,0,1,0.75,1,0.5,1,1,1,0,0,1,1,1,1,0.5,0.75,0.75,0,0.25,0.25,1,1,1,0,0.25,0,1,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,1,0.25,0.75,0.25,0.5,0,0.75,1,0.5,0.25,0.5,0.25,0.75,1,0.5,1,0.5,0.75,1,1
"92","201507",0.5,0.75,1,0,0.25,0.75,0.25,1,0.75,0.5,0.75,0.75,0.25,0.5,1,0.25,0.5,0.5,1,1,1,1,0.25,0,0,1,1,1,0.25,0.5,0.75,0,0,0.5,0.25,1,1,1,0.75,0.25,0,1,0.25,0.5,1,0.75,0.75,0,0.25,0,1,0.75,0.5,0.75,0,0,0.25,0.25,1,0,1,0.5,1,0.5,0.25,0.25,0.75,0.5,0.75,1,1,1
"93","201508",0.2,0.4,1,0,0,0,0.4,0.6,1,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0,0.8,0.4,0.8,0.4,0.2,0,0,0.6,0.6,0.2,0.4,0.2,0.6,0,0.4,0.6,0.4,1,0.4,0.6,0.4,0.4,0,0.8,0.2,0.2,0.8,0,0.4,0,0.4,0.4,1,0.2,0.4,0.4,0,0.2,0.6,0.4,0.6,0.2,0.2,0,1,0.2,0,0.8,0.6,0.6,0,0.6,0.8,1
