ea_id,LAT_DD_MOD,LON_DD_MOD
10202514,-9.68146,33.8498
10203176,-9.873049999999999,33.6206
10202514,-9.68146,33.8498
10203176,-9.873049999999999,33.6206
10202514,-9.68146,33.8498
10203176,-9.873049999999999,33.6206
10204586,-10.4163,34.2318
10204586,-10.358864,34.188385
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10203744,-10.0405,33.9087
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10204586,-11.01108,33.853183
10203744,-10.0405,33.9087
10204586,-11.910786,33.593205
10203744,-10.0405,33.9087
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10204586,-14.677371,34.525871
10203744,-10.0405,33.9087
10203744,-10.0405,33.9087
10203744,-11.441007,34.016095
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10203744,-10.055309,33.982838
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-9.95121,33.927254
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10204586,-10.4163,34.2318
10203744,-10.0405,33.9087
10204586,-10.4163,34.2318
10203744,-10.424955,34.190593
10203744,-10.344512,34.17316
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10204322,-10.176859,34.037412
10220705,-9.931279999999999,33.9324
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10220705,-12.649869,33.371411
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10220705,-9.931279999999999,33.9324
10220705,-9.931279999999999,33.9324
10204322,-10.4462,34.1193
10204322,-10.4462,34.1193
10204322,-10.30634,34.139264
10204322,-9.910549,33.907101
10204322,-10.457141,34.178137
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10301663,-16.091168,35.43689
10220103,-9.9754,33.926
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10220103,-10.380389,34.09918
10301663,-11.6477,34.125
10301663,-11.603104,34.098845
10220103,-9.9754,33.926
10301663,-11.760403,34.114699
10220103,-9.9754,33.926
10301663,-11.697975,34.088209
10220103,-9.9754,33.926
10301663,-12.217905,34.002893
10220103,-9.9754,33.926
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10220103,-9.826930000000001,33.872847
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10220103,-9.9754,33.926
10220103,-9.9754,33.926
10301663,-11.6477,34.125
10220103,-9.9754,33.926
10220103,-9.9754,33.926
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10305446,-14.084124,34.821974
10302010,-12.029085,34.00436
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10305446,-12.1525,34.0251
10302010,-11.964,34.0768
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10304012,-12.811286,33.411906
10308636,-11.5364,34.278
10308636,-11.52147,34.200863
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10304012,-12.153704,34.026215
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10304012,-11.8362,34.1621
10304012,-13.020244,33.471285
10304012,-11.24644,33.84823
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10304012,-11.04156,33.934913
10304012,-12.570924,34.093479
10308636,-11.5364,34.278
10304012,-14.015745,33.778069
10304012,-16.038367,35.025675
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10308636,-11.5364,34.278
10304012,-11.8362,34.1621
10401522,-11.0517,33.6871
10401522,-9.705852999999999,33.289144
10304012,-11.770927,34.238017
10304012,-11.8362,34.1621
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10307413,-11.678393,34.243587
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10307413,-13.870355,33.748947
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10307413,-11.7643,34.1954
10401522,-11.197652,33.873758
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
10307413,-11.7643,34.1954
10401522,-11.110604,33.677894
10307413,-11.7643,34.1954
10401522,-16.123843,35.341688
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
10401522,-10.481416,34.18526
10307413,-11.7643,34.1954
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
10401522,-15.650003,35.546817
10401522,-15.544869,35.381006
10307413,-11.7643,34.1954
10401522,-11.0517,33.6871
