"","ea_id","near_mkt","near_dist"
"122",10501709,"MZIMBA",14.046921338602
"123",10501505,"MZUZU",22.3254151956391
"124",10501505,"MZIMBA",36.9013451738922
"125",10502593,"Hewe",29.5839151545193
"126",10502593,"CHINTHECHE",14.9223739224623
"127",10502268,"RUMPHI",31.2051661397636
"128",10502268,"MZIMBA",28.2392350309512
"129",10505310,"Hewe",13.3388711625166
"130",10503367,"MZIMBA",9.21892626984851
"131",10503367,"MZIMBA",5.36701875451375
"132",10503367,"MZIMBA",5.76771783953322
"133",10503367,"MZUZU",4.01292493479316
"134",10503367,"MZIMBA",16.3650300605065
"135",10503367,"MZIMBA",5.89930387441373
"136",10505508,"MZIMBA",17.0121466496641
"137",10505136,"MZIMBA",19.9919552056007
"138",10505136,"NKHATABAY",5.02676000118298
"139",10507175,"NKHAMENYA",16.0464398910409
"140",10507175,"CHAMAMA",18.7688206584159
"141",10507344,"NKHAMENYA",10.1656055485785
"142",10507344,"NKHAMENYA",4.71845816064164
"143",10507344,"NSUNDWE",15.8551925735534
"144",10507344,"MTAKATAKA",10.9939772091187
"145",10507175,"NKHAMENYA",21.4377722479236
"146",10507175,"NKHAMENYA",23.8459007176247
"147",10507344,"NKHAMENYA",0.541414955830301
"148",10510388,"Embangweni",8.33986317948167
"149",10507344,"NKHAMENYA",13.4860113761108
"150",10509319,"Hewe",23.3967679943128
"151",10509319,"MZUZU",1.68803162618313
"152",10510388,"JENDA",5.9580680751327
"153",10510388,"LILONGWE",4.83199915621196
"154",10733640,"MZUZU",2.81584323424637
"155",10509319,"RUMPHI",23.2814331094923
"156",10733640,"CHINTHECHE",13.9466802516751
"157",10732192,"MZUZU",6.00354841880345
"158",10733640,"LILONGWE",4.07259524240212
"159",10733640,"ZOMBA",2.93521358311681
"160",10732192,"NTHALIRE",5.32725955533343
"161",10732192,"MZIMBA",1.54075050620826
"162",10733640,"LILONGWE",3.534027571833
"163",10733640,"LILONGWE",5.25725156624876
"164",10733640,"MZUZU",5.30175564975782
"165",10733640,"MZUZU",7.16927231030461
"166",10733640,"Mayaka",14.2526752731359
"167",10732192,"LILONGWE",5.81944843079856
"168",10733640,"Kasiya",16.2755704868669
"169",10732192,"DOWA",19.8816701185488
"170",10733640,"LIZULU",7.87310596960973
"171",10733640,"LIMBE",1.8362974280158
"172",10732192,"MZUZU",18.3179217966435
"173",10733640,"LILONGWE",12.3059537761741
"174",10734370,"MZUZU",2.91968923433659
"175",10734762,"MZUZU",3.66158010183662
"176",10734370,"KASUNGU",3.6116288159731
"177",10734370,"NKHATABAY",9.78765970951732
"178",10734762,"LILONGWE",6.41150293651812
"179",10734370,"CHIKWAWA",31.5297688388574
"180",10734370,"KARONGA",2.57718383156743
"181",10736596,"MZUZU",2.918680310504
"182",10735173,"MZUZU",1.26250387278953
"183",10735173,"MZUZU",13.3596800927309
"184",10735173,"RUMPHI",23.5790194232868
"185",10736596,"MZIMBA",11.3080294625686
"186",10736596,"NKHOTAKOTA",36.6182324130817
"187",10736596,"MADISI",6.83578017053474
"188",10736596,"MPONELA",14.7640342289383
"189",10736596,"NKHOTAKOTA",37.3932379426625
"190",10735173,"NKHATABAY",12.7288915778639
"191",10735173,"NKHATABAY",14.4720354891845
"192",10735173,"CHITIPA",5.53128217588702
"193",10736596,"KASUNGU",2.80049129186663
"194",10736596,"NKHOTAKOTA",1.33830406689067
"195",10735173,"KARONGA",14.3901963184902
"196",10744649,"MZUZU",1.71790343708353
"197",10741504,"MZUZU",2.222482643541
"198",10741504,"MZUZU",3.84487797788822
"199",10741504,"LIMBE",5.48904919100844
"200",10741504,"NKHOTAKOTA",51.3814338805005
"201",10744649,"Embangweni",17.5767380253788
"202",10741504,"CHILUMBA",7.09594029195007
"203",10744649,"Bembeke_turnoff",10.652986884533
"204",10741504,"KASUNGU",1.75250036311989
"205",10744649,"MZUZU",5.49485393211851
"206",10741504,"Hewe",35.1547057275427
"207",10744649,"MZIMBA",1.93029679089668
"208",10744649,"MWANZA",1.36044670176518
"209",10741504,"MZUZU",16.5491333069789
"210",10744649,"MISUKU",9.5508983540728
"211",10741504,"MZUZU",2.77631554624954
"212",10746244,"MZUZU",3.33822525496551
"213",10746244,"MONKEY BAY",12.9047689670449
"214",10746033,"MZUZU",4.5090372004127
"215",10746033,"MZIMBA",20.1444444245239
"216",10746244,"BVUMBWE",16.2227314206118
"217",10746033,"JENDA",9.1188190635817
"218",10746244,"MZUZU",5.53250745835456
"219",10746244,"MZIMBA",7.79997197233875
"220",10746033,"MZUZU",30.8355039748854
"221",10746244,"MZIMBA",14.8074630232436
"222",10746033,"CHINTHECHE",6.24859008822396
"223",20106042,"KASUNGU",4.63972250280295
"224",20110620,"Bembeke_turnoff",4.7709843382097
"225",20110620,"Chatoloma",14.6079635726312
"226",20110620,"Chatoloma",10.9099607327036
"227",20106042,"Chatoloma",17.0236325037209
"228",20110620,"NKHAMENYA",1.25493400666995
"229",20106042,"NKHOTAKOTA",2.05900113697535
"230",20106042,"KASUNGU",22.9887923818169
"231",20106042,"Hewe",8.32360006527031
"232",20110620,"JENDA",11.1592001343829
"233",20106042,"CHAMAMA",9.60076606972805
"234",20106042,"CHAMAMA",4.03959903008942
"235",20111718,"SANTHE",11.0332663388125
"236",20112661,"CHAMAMA",7.25904268669753
"237",20111718,"SANTHE",2.61709605459028
"238",20111718,"SANTHE",1.19218536173659
"239",20111718,"NAMBUMA",5.15081779807344
"240",20111718,"SANTHE",26.2696018428197
"241",20111718,"NAMBUMA",16.7050036241637
"242",20111718,"NKHAMENYA",33.3661987920489
"243",20111718,"MKANDA",16.2593060719655
"244",20112661,"CHAMAMA",21.2248816588042
