case_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
101013550126,-9.73457,33.40720,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013550135,-9.73457,33.40720,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013550154,-9.73457,33.40720,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013550164,-9.73457,33.40720,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013550173,-9.73457,33.40720,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013550192,-9.73457,33.40720,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740006,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740013,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740020,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740028,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740035,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740050,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740057,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740064,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740072,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740094,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740101,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740108,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740123,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740130,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740138,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101013740152,-9.58702,33.21810,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700012,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700026,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700029,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700032,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700034,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700055,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700079,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700128,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700135,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700148,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700156,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700200,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700214,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700224,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700227,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101014700248,-9.66271,33.25240,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015620009,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620020,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620031,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620042,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620053,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620064,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620075,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620086,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620096,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620118,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620140,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620162,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620184,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620195,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620205,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015620227,-9.66792,33.39370,MW2012C3010107,2012,MW,Malawi,Northern,Chitipa,,MW07,Misuku Hills,10920507,3
101015680005,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680012,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680019,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680026,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680033,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680046,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680053,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680060,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680067,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680081,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680088,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680095,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680102,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680116,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680130,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101015680144,-9.73771,33.26080,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060006,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060007,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060011,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060015,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060022,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060026,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060030,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060033,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060041,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060045,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060048,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060052,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
101017060059,-9.53646,33.38660,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
