clust_logFCS,clust_logFCS_ipczone_predict_m3
3.6660154,3.4794705
3.7188785,3.7251265
3.7998304,3.7193871
3.8448913,3.6102984
3.6879361,3.4147816
3.7841516,3.7193871
3.8374259,3.3980854
3.8953035,3.6519411
3.8047087,3.5938604
3.6172888,3.5641375
3.6439795,3.5938604
3.4990628,3.5390573
3.4933577,3.5555787
3.6403515,3.3980854
3.6665723,3.5555787
3.84376,3.5555787
4.0433965,3.5324187
3.7008128,4.0807343
3.7441485,3.4708934
3.6215286,3.5907309
3.862515,3.8715851
3.9374404,3.8715851
3.8079872,3.5079291
3.9977124,3.6350474
3.8358147,3.8276494
3.7830768,3.6478896
3.8918312,3.697603
3.7758429,3.7285006
4.1514988,3.6100006
3.8444798,3.8276494
3.8362947,3.5408208
3.6930976,3.5408208
3.6518881,3.5408208
3.7350838,3.7399919
3.9886575,3.7399919
3.7446616,3.7299833
3.93312,3.6311209
3.7440948,3.6966593
3.7857857,3.6311209
3.7116849,3.6311209
3.8871653,3.5051212
3.9496818,3.6311209
4.2388158,3.6512306
3.9722149,3.7802844
3.8195713,3.6311209
3.7748787,3.6311209
3.9916737,3.5615864
3.8403809,3.5508718
3.8244824,3.5508718
3.8742146,3.5508718
3.7777686,3.634074
3.9021387,3.634074
3.7166927,3.6512306
3.5496531,3.6512306
3.9362974,3.6512306
3.7444925,3.6512306
3.5289705,3.5676949
3.5693336,3.4344661
3.6268327,3.4344661
3.4981892,3.4344661
3.6486998,3.5880287
4.1787114,3.969774
4.0011086,3.969774
4.2960067,3.969774
4.1393027,3.6512306
4.1048226,3.969774
3.8897817,3.969774
4.4301381,3.969774
3.8571975,3.969774
4.1035881,3.77828
3.9184604,3.6512306
3.6246924,3.5601535
3.6686556,3.4954193
3.6704962,3.4954193
3.7689302,3.5874786
3.7852209,3.77828
3.7130654,3.5595565
4.0658445,3.77828
4.0676599,3.6236451
4.0440907,3.8786497
3.7745514,3.6866565
3.8609583,3.6866565
3.9285622,3.7158809
3.7701697,3.6843681
3.7868888,3.687294
3.9609897,3.7158809
3.7418106,3.447907
3.7601032,3.7643254
3.7442036,3.6607859
3.6866508,3.5496502
3.8576705,3.9018638
4.307807,3.9018638
4.0041785,3.8216507
4.1439509,3.9018638
4.1076107,3.8216507
4.0758004,3.9409835
3.9102142,3.9409835
4.0183487,3.8646388
3.8182402,3.5793977
3.9712291,3.7272968
3.7441885,3.7130802
3.9448898,3.7130802
3.745857,3.7272968
3.7006366,3.7843263
3.7242777,3.7377295
3.6038883,3.6342759
4.0880117,3.6197407
3.8565178,3.4998281
3.8771565,3.6197407
3.8044646,3.6197407
4.4177699,3.6197407
3.9529483,3.554924
3.9882655,3.554924
3.782285,3.554924
3.9465747,3.5820136
3.8390801,3.6020746
3.9228625,3.6296372
4.0240684,3.6296372
3.9198496,3.6296372
3.6902764,3.6296372
3.4244342,3.6296372
3.6624522,3.6296372
3.6410766,3.6296372
3.6560838,3.6296372
3.8188958,3.6296372
3.6584873,3.5446424
3.6556187,3.4222643
3.6803482,3.5748212
4.0570364,3.9697876
4.0009079,3.9697876
3.933511,3.5455813
3.9245605,3.5455813
3.888823,3.5455813
3.9735847,3.5030391
3.7099979,3.5030391
3.8880391,3.769387
3.7848067,3.6867056
3.7995741,3.8470855
3.8336868,3.8414884
4.070292,3.867455
3.8762567,3.6757169
3.9872594,3.6757169
3.8244545,3.6676052
3.7324572,3.4155848
3.8186865,3.4155848
3.9912584,3.7514555
3.8286057,3.8414884
3.8511894,3.553654
3.7493882,3.6320806
4.1048164,3.8470855
4.1718726,3.8470855
3.9400933,3.9127276
4.0186462,4.1617284
4.0405884,3.9127276
4.1376033,3.9127276
4.3435025,3.7054572
