clust_logFCS,clust_logFCS_TA_predict_m1
3.6660154,3.8709536
3.7188785,3.9110875
3.7998304,3.9679158
3.8448913,3.8194268
3.6879361,3.7681177
3.7841516,3.879575
3.8374259,3.7789328
3.8953035,3.7759063
3.8047087,3.8610439
3.6172888,3.9330497
3.6439795,3.8784287
3.4990628,3.7363176
3.4933577,3.8960369
3.6403515,3.8355269
3.6665723,3.8956847
3.84376,3.9026804
4.0433965,3.8568945
3.7008128,3.8040936
3.7441485,3.802387
3.6215286,3.5937212
3.862515,3.8102257
3.9374404,3.8580666
3.8079872,3.7601359
3.9977124,3.9212954
3.8358147,3.861666
3.7830768,3.8365405
3.8918312,3.9070225
3.7758429,3.8412287
4.1514988,3.7467968
3.8444798,3.8863277
3.8362947,3.8709536
3.6930976,3.8715477
3.6518881,3.8610625
3.7350838,3.9092703
3.9886575,3.9218206
3.7446616,4.01404
3.93312,3.8320286
3.7440948,3.8320286
3.7857857,3.8157997
3.7116849,3.8157997
3.8871653,3.7933717
3.9496818,3.7930458
4.2388158,3.8754513
3.9722149,3.7637465
3.8195713,3.8688977
3.7748787,3.8963754
3.9916737,3.7860935
3.8403809,3.8316948
3.8244824,3.8630261
3.8742146,3.8071792
3.7777686,3.8870246
3.9021387,3.8610439
3.7166927,3.749433
3.5496531,3.7191503
3.9362974,3.8784287
3.7444925,3.7363176
3.5289705,3.6124897
3.5693336,3.8459163
3.6268327,3.7421494
3.4981892,3.7421494
3.6486998,3.8149197
4.1787114,3.8400521
4.0011086,3.8568945
4.2960067,3.844321
4.1393027,3.8615084
4.1048226,3.8615084
3.8897817,3.8701253
4.4301381,3.8573902
3.8571975,3.8615084
4.1035881,3.8641746
3.9184604,3.8182828
3.6246924,3.7737906
3.6686556,3.8404968
3.6704962,3.770261
3.7689302,3.7330298
3.7852209,3.5964622
3.7130654,3.5964622
4.0658445,3.8621268
4.0676599,3.849411
4.0440907,3.7802923
3.7745514,3.7482188
3.8609583,3.8069258
3.9285622,3.8560944
3.7701697,3.8771682
3.7868888,3.8625793
3.9609897,3.8754559
3.7418106,3.4539206
3.7601032,3.7561369
3.7442036,3.8292224
3.6866508,3.8292224
3.8576705,3.9024231
4.307807,3.8076646
4.0041785,3.7541051
4.1439509,3.8869162
4.1076107,3.746479
4.0758004,3.8556461
3.9102142,3.8504186
4.0183487,3.8650966
3.8182402,3.910327
3.9712291,3.9092703
3.7441885,3.8585467
3.9448898,3.8585467
3.745857,3.9218206
3.7006366,3.8283527
3.7242777,3.8827887
3.6038883,3.9092703
4.0880117,3.7637465
3.8565178,3.7637465
3.8771565,3.7933717
3.8044646,3.7933717
4.4177699,3.8677244
3.9529483,3.7998519
3.9882655,3.8146782
3.782285,3.7121949
3.9465747,3.8160815
3.8390801,3.8870246
3.9228625,3.749433
4.0240684,3.8387508
3.9198496,3.7191503
3.6902764,3.7918181
3.4244342,3.7749114
3.6624522,3.848562
3.6410766,3.848562
3.6560838,3.8309433
3.8188958,3.8475647
3.6584873,3.7281189
3.6556187,3.7596807
3.6803482,3.8149197
4.0570364,3.8568945
4.0009079,3.8538153
3.933511,3.8040936
3.9245605,3.7817161
3.888823,3.7817161
3.9735847,3.6582181
3.7099979,3.6582181
3.8880391,3.6063597
3.7848067,3.7780998
3.7995741,3.7780998
3.8336868,3.8620782
4.070292,3.8580587
3.8762567,3.836683
3.9872594,3.81478
3.8244545,3.8771682
3.7324572,3.4657879
3.8186865,3.4539206
3.9912584,3.8217473
3.8286057,3.7280102
3.8511894,3.8339953
3.7493882,3.8339953
4.1048164,3.9128406
4.1718726,3.9072263
3.9400933,3.8300438
4.0186462,3.8702478
4.0405884,3.8331058
4.1376033,3.8674777
4.3435025,3.8577456
