"case_id","LAT_DD_MOD","LON_DD_MOD","rcsi","logfcs","hdds"
"2768-001",-14.9533,34.9545,3.76452639775649,3.71470831176136,4.7730309716909
"2896-001",-15.3787,35.3421,2.47249158908271,3.94758357092631,5.33948829189538
"2960-001",-15.3992,35.3184,1.22251329850372,4.19917544718474,6.38473623181014
"3103-001",-15.7308,35.0713,2.03489522912606,3.8716475142759,5.42564570025159
"3064-001",-15.7926,35.0838,2.34411603476536,3.89067427390355,5.43000005185398
"3105-002",-15.7545,35.0446,2.15840013746396,3.95083973576182,5.65266863563251
"3138-001",-15.8234,35.0885,1.04764361564261,4.01369455839441,5.8325270235571
"3207-001",-15.8086,35.0572,0.00913403270357138,4.48339820698974,7.4242688929604
"0002-001",-9.66792,33.3937,NA,NA,NA
"0121-001",-10.1988,33.6635,NA,NA,NA
"0112-001",-9.84483,33.8737,NA,NA,NA
"0267-002",-12.029085,34.00436,NA,NA,NA
"0351-002",-11.729789,34.301031,NA,NA,NA
"0326-001",-11.0517,33.6871,NA,NA,NA
"0401-004",-10.744606,34.021889,NA,NA,NA
"0556-001",-12.6592,33.6304,NA,NA,NA
"0561-001",-12.5306,33.6027,NA,NA,NA
"0638-001",-11.433,34.0235,NA,NA,NA
"0647-001",-11.4275,34.028,NA,NA,NA
"0705-003",-11.48572,33.993778,NA,NA,NA
"0704-001",-11.4736,34.0151,NA,NA,NA
"0825-001",-12.8816,33.7268,NA,NA,NA
"0868-001",-13.35,34.2705,NA,NA,NA
"0980-003",-13.769923,33.810036,NA,NA,NA
"1001-001",-13.7611,33.9695,NA,NA,NA
"1066-001",-13.612,34.3389,NA,NA,NA
"1079-001",-13.5932,34.2978,NA,NA,NA
"1362-001",-14.0593,33.3084,NA,NA,NA
"1381-001",-13.5027,32.9863,NA,NA,NA
"1412-001",-14.3353,33.9759,NA,NA,NA
"1491-001",-14.2021,34.3656,NA,NA,NA
"1534-005",-14.8515,34.6402,NA,NA,NA
"1599-001",-14.5036,34.6593,NA,NA,NA
"1675-001",-13.9354,33.7828,NA,NA,NA
"1676-001",-14.0039,33.8081,NA,NA,NA
"1854-001",-13.953,33.7174,NA,NA,NA
"1883-001",-13.9554,33.7286,NA,NA,NA
"2054-001",-14.1066,35.4117,NA,NA,NA
"2085-001",-15.175,35.3381,NA,NA,NA
"2150-001",-14.7074,35.8067,NA,NA,NA
"2283-001",-15.317,35.1061,NA,NA,NA
"2246-001",-15.4627,35.1595,NA,NA,NA
"2389-002",-15.668453,35.045057,NA,NA,NA
"2342-001",-15.4239,34.8991,NA,NA,NA
"2484-001",-16.005,35.1013,NA,NA,NA
"2576-001",-15.965,35.4421,NA,NA,NA
"2678-001",-16.6,34.9673,NA,NA,NA
"2885-001",-14.8874,35.1158,NA,NA,NA
"2949-001",-15.3736,35.3644,NA,NA,NA
"3033-001",-15.399,35.3205,NA,NA,NA
"2988-001",-15.413,35.3114,NA,NA,NA
"3086-001",-15.7776,35.0402,NA,NA,NA
"3172-001",-15.8214,35.0129,NA,NA,NA
