clust_HDDS,clust_HDDS_clust_predict_m2
4.6875,4.6879845
5.2352943,5.1285567
5.7199998,5.9036865
5.0952382,4.9900303
5.3125,4.9685726
5.4210525,5.1548319
5.2608695,4.7691774
5.6500001,4.7391248
5.318182,4.5006957
5.125,5.2543163
4.9259257,4.9275746
4.0952382,4.6087914
4.590909,4.7212191
5.1904764,4.6757345
5.3888888,5.5456161
5.7142859,5.0739913
6.25,5.9608955
5.181818,5.1031599
4.8499999,5.1599045
4.6500001,4.616045
5.6500001,5.0281267
5.7272725,5.0249324
5.2631578,4.8688774
6.1666665,5.1363683
5.3684211,5.0590868
5.8125,4.8731666
6.1578946,5.5388579
5.7058825,5.3095832
6.5,5.9876642
5.6842103,5.6451416
5.0588236,4.9670429
4.9411764,4.8133883
4.5625,4.8589878
5.1111112,4.9545259
6.0555553,5.9452748
5.2777777,5.7447653
5.8095236,5.8967118
5.3333335,5.1542807
5.3125,5.1075845
5,4.9004717
5.6875,5.0417848
5.4705882,4.890996
6.4375,5.8889112
6.0999999,6.0374513
5.6363635,5.8701429
5.6500001,5.3408494
5.826087,4.8930826
5.5652175,4.9270191
5.2173915,4.9350352
5.4444447,4.8688655
4.7777777,5.0334625
5.3888888,5.1789041
4.7777777,4.6618695
4.5999999,4.7889304
5.9130435,5.573977
5.1666665,5.0437646
5.1666665,4.9379401
4.7333331,4.8577642
4.25,5.0245371
4.4000001,4.563107
4.8499999,4.9340563
6.3157897,6.1145201
6.2142859,5.8407588
6.818182,6.4335785
6.409091,6.2755051
6.4210525,6.1502881
5.695652,5.4287496
6.8000002,7.1335001
5.7083335,5.4758763
6.25,5.6252279
5.8125,5.4705129
4.8421054,4.7470822
4.9444447,4.8687744
4.8235292,4.7256484
5.2631578,4.8489046
5.2380953,4.5684028
4.7058825,4.3773937
6.4499998,5.7258615
6.3157897,5.5399079
5.7894735,5.0599604
5.4210525,5.0494905
5.5714288,5.0576477
6,5.3811831
5.2222223,5.3046007
5.4285712,5.0820994
6.1904764,5.8362794
5.4375,4.3488593
5.4499998,5.0044284
5.25,5.3643932
4.7777777,5.0343022
5.8888888,5.3184762
6.352941,6.1865559
6.2631578,5.2676373
6.2727275,5.8986707
6.6315789,5.4718986
5.96,6.015676
5.8499999,5.6876593
6.125,5.6721969
5.625,4.9524875
6.0454545,5.2044387
5.2941175,4.9859467
6.0526314,5.7847829
5.681818,5.228364
5.352941,5.402442
5.0625,5.3751702
5.1764708,5.1872082
5.8235292,5.0231619
5.6666665,5.1027799
5.25,4.8263006
5.4736843,5.1474175
6.8571429,6.9091749
5.9130435,5.0405021
5.5500002,4.8853498
5.3636365,4.7706709
5.4347825,4.7104087
5.2857141,4.7358465
6.1599998,6.0156064
6.0555553,5.5948033
5.9000001,5.4243178
5.3000002,4.6752582
4.3684211,4.6302528
4.8000002,4.8211279
4.9523811,4.9320307
4.8571429,4.784039
5.7391305,5.0635424
4.9629631,4.5960712
4.8823528,5.0454049
5,5.0634608
6.5,6.2610483
5.8499999,5.9137363
5.5,4.7289748
5.3684211,4.8623047
5.1999998,4.8409491
5.7142859,5.0870404
4.9523811,4.8558445
5.5714288,4.415781
5.4117646,4.9692221
5.090909,4.7730546
5.5714288,5.3713164
6.3125,5.9815311
5.8888888,5.4680533
6.1052632,5.7299275
5.5625,4.8249474
5.5500002,4.170074
5.304348,4.2418747
5.7368422,5.0405979
5.4761906,4.9867244
5.4736843,5.2610979
5.5,5.1742845
6.1111112,5.7190289
6.3846154,6.0471416
5.9130435,5.7530971
6,5.7271547
6.2105265,5.7988362
6.5714288,5.9274907
6.6666665,6.655899
