clust_logFCS,clust_logFCS_clust_predict_m2
3.6660154,3.620518
3.7188785,3.8232503
3.7998304,4.1264267
3.8448913,3.7415695
3.6879361,3.721493
3.7841516,3.8121803
3.8374259,3.6940687
3.8953035,3.701021
3.8047087,3.6048565
3.6172888,3.8726642
3.6439795,3.760695
3.4990628,3.6331494
3.4933577,3.720279
3.6403515,3.6341429
3.6665723,3.9210553
3.84376,3.7887726
4.0433965,4.0500984
3.7008128,3.7481234
3.7441485,3.8374445
3.6215286,3.6840222
3.862515,3.7782402
3.9374404,3.7711291
3.8079872,3.744045
3.9977124,3.8400645
3.8358147,3.7996182
3.7830768,3.718766
3.8918312,3.9477887
3.7758429,3.9032483
4.1514988,4.0999064
3.8444798,3.9434133
3.8362947,3.7540474
3.6930976,3.7214324
3.6518881,3.7301011
3.7350838,3.7842243
3.9886575,4.075284
3.7446616,4.1234217
3.93312,3.9624176
3.7440948,3.760874
3.7857857,3.7761667
3.7116849,3.707165
3.8871653,3.7344255
3.9496818,3.7124207
4.2388158,4.0267959
3.9722149,4.0834064
3.8195713,4.035696
3.7748787,3.8578935
3.9916737,3.7025731
3.8403809,3.6993999
3.8244824,3.7313201
3.8742146,3.6651764
3.7777686,3.751039
3.9021387,3.7870753
3.7166927,3.6063206
3.5496531,3.6348982
3.9362974,3.903677
3.7444925,3.7193696
3.5289705,3.7417829
3.5693336,3.648932
3.6268327,3.7171872
3.4981892,3.561867
3.6486998,3.7088215
4.1787114,4.0862827
4.0011086,3.9772704
4.2960067,4.1664581
4.1393027,4.1308131
4.1048226,4.1007843
3.8897817,3.8661258
4.4301381,4.4290752
3.8571975,3.8657932
4.1035881,3.9165597
3.9184604,3.8392758
3.6246924,3.6803138
3.6686556,3.7066288
3.6704962,3.6955791
3.7689302,3.711426
3.7852209,3.598881
3.7130654,3.5616322
4.0658445,3.9697051
4.0676599,3.8757107
4.0440907,3.7730122
3.7745514,3.7381251
3.8609583,3.7400038
3.9285622,3.8076541
3.7701697,3.8774989
3.7868888,3.7564089
3.9609897,3.9583223
3.7418106,3.5401287
3.7601032,3.7581038
3.7442036,3.8384869
3.6866508,3.7730422
3.8576705,3.8304479
4.307807,4.1120486
4.0041785,3.8215277
4.1439509,4.0359273
4.1076107,3.8972342
4.0758004,4.0232649
3.9102142,3.9146249
4.0183487,3.8962235
3.8182402,3.7233746
3.9712291,3.8547554
3.7441885,3.7702715
3.9448898,4.0025868
3.745857,3.8436522
3.7006366,3.9416709
3.7242777,3.8978276
3.6038883,3.8762081
4.0880117,3.6963801
3.8565178,3.7370794
3.8771565,3.6667414
3.8044646,3.7453327
4.4177699,4.3787513
3.9529483,3.753948
3.9882655,3.710947
3.782285,3.6680751
3.9465747,3.6306632
3.8390801,3.6672142
3.9228625,4.0110059
4.0240684,3.9088223
3.9198496,3.8258312
3.6902764,3.5877013
3.4244342,3.5942781
3.6624522,3.6391063
3.6410766,3.6928513
3.6560838,3.6394038
3.8188958,3.7240393
3.6584873,3.6222177
3.6556187,3.7010102
3.6803482,3.7558243
4.0570364,4.0915036
4.0009079,3.9712615
3.933511,3.6816926
3.9245605,3.7007337
3.888823,3.6947763
3.9735847,3.7321587
3.7099979,3.6633158
3.8880391,3.5547369
3.7848067,3.7447863
3.7995741,3.651036
3.8336868,3.8096478
4.070292,4.0172129
3.8762567,3.8507404
3.9872594,3.9624341
3.8244545,3.7029068
3.7324572,3.4852114
3.8186865,3.5070906
3.9912584,3.773643
3.8286057,3.7345479
3.8511894,3.7957437
3.7493882,3.777355
4.1048164,3.9923174
4.1718726,4.0681562
3.9400933,3.9067733
4.0186462,3.9343984
4.0405884,3.951108
4.1376033,3.9956408
4.3435025,4.2349749
