clust_RCSI,clust_RCSI_clust_predict_m1
12.3125,2.655966
5.352941,3.1836445
5.0799999,3.2687945
4.2857141,2.8519454
.8125,3.2994859
10.842105,3.0702395
2.0869565,2.7652147
2.1500001,3.4179108
3.090909,2.2527237
2.25,5.4329896
2.8888888,2.5911043
8.2857141,3.1135666
7.0454545,5.4348121
3.3809524,1.985175
2.2222223,5.1143389
3.8571429,5.3385453
4.1428571,2.6935565
1.1363636,3.4319289
4.1999998,5.9841051
3.25,4.4980464
4.1999998,5.2398257
7.5454545,5.2691503
3.5263157,6.1762123
10.166667,5.3504114
4,5.5806746
8.5625,5.5728631
6.2105265,8.1974602
9.4705887,6.0306191
2.3181818,2.8294966
8.2631578,4.8739562
4.4705882,2.7156157
3.8823528,2.7792451
6.125,2.4378881
3.6111112,2.6927745
2.0555556,2.8943007
4.8888888,3.5041873
1.7619047,3.0263407
.86666667,2.6587684
1.25,2.487731
.2631579,3.3100505
.8125,3.0372107
2.5294118,2.7555134
.625,2.7867098
3.0999999,2.8288512
3.5,2.9016249
5.0500002,2.6824653
3.652174,3.3465555
1.1304348,2.3553226
3.9130435,3.0736241
3.1481481,2.7287843
1.7777778,2.5272148
1.8333334,2.5203974
5.8888888,3.6949503
8.6499996,2.9648657
4.4347825,2.818805
4.3888888,2.6620908
4.4583335,4.1093817
1.6666666,2.3669651
5.75,2.8005767
11.85,2.3876851
2.75,3.102936
2.7894738,2.7560871
1.3214285,2.8822982
.90909094,2.5214856
2.8636363,2.6483359
1.6842105,2.5370097
7.652174,2.586679
.15000001,2.7134972
4.125,2.8623447
4.4375,2.8252845
3.8125,2.893239
4.8421054,3.5912371
7,3.1911888
7.4705882,3.7786827
4.3684211,3.726079
3.1904762,4.0464511
3.4705882,4.1143551
2.3,2.5682268
8.0526314,2.8578491
2.4736843,3.3748734
8.4210529,3.1625383
2.1428571,3.0698645
7.0952382,2.5304093
13.722222,3.4462976
10.714286,2.925905
2.5238094,2.7121818
12,4.7688794
9.25,4.1063075
3.75,3.3469036
4.6666665,3.4788072
4.6111112,2.5316517
4.1176472,2.6492901
3,3.5701728
5.909091,2.760772
1.5263158,3.5141571
3,2.7334754
3.4000001,2.6700237
4.125,2.4156737
3.3125,1.8254448
2.8636363,3.6501977
2.5882354,3.4873013
.78947371,3.3762431
3.1818182,3.1649313
3.5882354,3.7652631
3.5,3.2520013
3.3529413,3.1295676
2,3.246424
4.4666667,3.1563871
2.4375,2.8185318
2.4736843,2.9415503
.095238097,2.7079921
2.2608695,3.1741312
3.3,3.0847735
7,3.4487481
1.7826087,2.6239719
4.5714288,3.0566313
2.72,2.8975756
2.6111112,2.9387343
3.1500001,3.0034268
5.1999998,2.8230953
5.3157897,2.8048134
7.1500001,2.6903777
6.6666665,2.9584579
6,2.7622244
2.7391305,2.4165316
3.2592592,3.6437111
4.352941,2.7482731
4.7222223,3.1316607
.75,2.7341516
2.8,2.757581
4.3000002,3.4469566
2.6842105,3.0086942
4.6999998,3.2162519
6.8571429,3.5811932
1.2857143,3.8972154
4.4761906,4.5882673
2.3529413,3.4213712
3.0454545,3.6641502
2.8571429,2.7847278
1.9375,3.0119495
3.5,2.7279623
4.0526314,2.9565742
6.1875,3.4485283
10.55,4.9138546
8.043478,4.9969945
7.1052632,3.494843
4.5238094,3.6582184
3,3.2030234
7.818182,3.2744975
3.2777777,3.0271671
4,2.8035674
1.9130435,2.6652749
5.3333335,2.5621185
1.1578947,2.751363
5.1428571,2.3014479
3.4761906,2.4517331
