clust_logFCS,clust_logFCS_TA_predict_m3
3.6660154,3.6599979
3.7188785,3.6935153
3.7998304,4.0773339
3.8448913,3.6654005
3.6879361,3.5846071
3.7841516,3.8259594
3.8374259,3.700352
3.8953035,3.6869829
3.8047087,3.6986818
3.6172888,3.5108454
3.6439795,3.8098066
3.4990628,3.6032419
3.4933577,3.7158735
3.6403515,3.5630438
3.6665723,3.6790776
3.84376,3.8115947
4.0433965,4.127625
3.7008128,3.6781025
3.7441485,3.6419694
3.6215286,3.6888597
3.862515,3.7394578
3.9374404,3.7680719
3.8079872,3.7523379
3.9977124,3.8913119
3.8358147,3.7497988
3.7830768,3.6475482
3.8918312,3.832124
3.7758429,3.7466769
4.1514988,3.7100625
3.8444798,3.8770931
3.8362947,3.6599979
3.6930976,3.6271007
3.6518881,3.7122884
3.7350838,3.7775505
3.9886575,3.9644344
3.7446616,4.0527902
3.93312,3.7665212
3.7440948,3.7665212
3.7857857,3.7188711
3.7116849,3.7188711
3.8871653,3.6110966
3.9496818,3.7107792
4.2388158,4.1294808
3.9722149,3.6858265
3.8195713,3.9719939
3.7748787,3.8540761
3.9916737,3.6130269
3.8403809,3.6446152
3.8244824,3.7333603
3.8742146,3.7078125
3.7777686,3.6730947
3.9021387,3.6986818
3.7166927,3.7637165
3.5496531,3.6858571
3.9362974,3.8098066
3.7444925,3.6032419
3.5289705,3.7573857
3.5693336,3.6141138
3.6268327,3.5361135
3.4981892,3.5361135
3.6486998,3.6139197
4.1787114,4.2145033
4.0011086,4.127625
4.2960067,4.1111565
4.1393027,4.0069513
4.1048226,4.0069513
3.8897817,3.7048571
4.4301381,4.9436703
3.8571975,4.0069513
4.1035881,3.9012747
3.9184604,4.0997314
3.6246924,3.6874001
3.6686556,3.6374292
3.6704962,3.6258702
3.7689302,3.6062973
3.7852209,3.5681691
3.7130654,3.5681691
4.0658445,3.8117185
4.0676599,3.7652926
4.0440907,3.6347489
3.7745514,3.6377516
3.8609583,3.6783104
3.9285622,3.774807
3.7701697,3.7013206
3.7868888,3.7042835
3.9609897,3.740171
3.7418106,3.4355688
3.7601032,3.6495807
3.7442036,3.7426426
3.6866508,3.7426426
3.8576705,3.8663728
4.307807,3.695976
4.0041785,3.7606606
4.1439509,4.081491
4.1076107,3.9899721
4.0758004,4.1149821
3.9102142,3.9848204
4.0183487,3.8148015
3.8182402,3.6412907
3.9712291,3.7775505
3.7441885,3.8365571
3.9448898,3.8365571
3.745857,3.9644344
3.7006366,3.7261238
3.7242777,3.7931263
3.6038883,3.7775505
4.0880117,3.6858265
3.8565178,3.6858265
3.8771565,3.6110966
3.8044646,3.6110966
4.4177699,4.3655462
3.9529483,3.7091775
3.9882655,3.7001715
3.782285,3.6077042
3.9465747,3.6023424
3.8390801,3.6730947
3.9228625,3.7637165
4.0240684,3.904238
3.9198496,3.6858571
3.6902764,3.7409902
3.4244342,3.5290813
3.6624522,3.6290088
3.6410766,3.6290088
3.6560838,3.734354
3.8188958,3.7771149
3.6584873,3.5618489
3.6556187,3.590579
3.6803482,3.6139197
4.0570364,4.127625
4.0009079,4.1462154
3.933511,3.6781025
3.9245605,3.6434331
3.888823,3.6434331
3.9735847,3.6320944
3.7099979,3.6320944
3.8880391,3.6185434
3.7848067,3.7233586
3.7995741,3.7233586
3.8336868,3.9017313
4.070292,4.034636
3.8762567,3.7637873
3.9872594,3.8980536
3.8244545,3.7013206
3.7324572,3.446692
3.8186865,3.4355688
3.9912584,3.6149144
3.8286057,3.7362387
3.8511894,3.6730304
3.7493882,3.6730304
4.1048164,3.8088727
4.1718726,4.2311945
3.9400933,3.8778176
4.0186462,4.0292125
4.0405884,4.0912876
4.1376033,4.1312947
4.3435025,4.4461212
