clust_HDDS,clust_HDDS_ipczone_predict_m3
4.6875,4.1948695
5.2352943,4.7116427
5.7199998,4.6423273
5.0952382,4.9101353
5.3125,4.2929792
5.4210525,4.6423273
5.2608695,4.1452408
5.6500001,4.482183
5.318182,4.5586381
5.125,4.4626875
4.9259257,4.5586381
4.0952382,4.5147219
4.590909,4.5063357
5.1904764,4.1452408
5.3888888,4.5063357
5.7142859,4.5063357
6.25,4.3382893
5.181818,5.9402189
4.8499999,4.4393072
4.6500001,4.5856705
5.6500001,5.2250934
5.7272725,5.2250934
5.2631578,4.4295106
6.1666665,4.595674
5.3684211,5.5701795
5.8125,4.6822448
6.1578946,4.4718375
5.7058825,5.0153699
6.5,4.633904
5.6842103,5.5701795
5.0588236,4.41471
4.9411764,4.41471
4.5625,4.41471
5.1111112,4.9904895
6.0555553,4.9904895
5.2777777,4.6923714
5.8095236,4.9744759
5.3333335,4.8384643
5.3125,4.9744759
5,4.9744759
5.6875,4.7206554
5.4705882,4.9744759
6.4375,4.8134298
6.0999999,5.0192075
5.6363635,4.9744759
5.6500001,4.9744759
5.826087,4.6354632
5.5652175,4.2038827
5.2173915,4.2038827
5.4444447,4.2038827
4.7777777,4.654109
5.3888888,4.654109
4.7777777,4.8134298
4.5999999,4.8134298
5.9130435,4.8134298
5.1666665,4.8134298
5.1666665,4.4587612
4.7333331,4.2690611
4.25,4.2690611
4.4000001,4.2690611
4.8499999,4.7459469
6.3157897,5.8226819
6.2142859,5.8226819
6.818182,5.8226819
6.409091,4.8134298
6.4210525,5.8226819
5.695652,5.8226819
6.8000002,5.8226819
5.7083335,5.8226819
6.25,5.024508
5.8125,4.8134298
4.8421054,4.3899298
4.9444447,4.5187464
4.8235292,4.5187464
5.2631578,4.457581
5.2380953,5.024508
4.7058825,4.3683453
6.4499998,5.024508
6.3157897,5.0112424
5.7894735,5.4829016
5.4210525,4.94383
5.5714288,4.94383
6,5.1101246
5.2222223,4.7497878
5.4285712,4.978775
6.1904764,5.1101246
5.4375,4.073204
5.4499998,4.9076114
5.25,4.9939952
4.7777777,4.7300062
5.8888888,5.4904199
6.352941,5.4904199
6.2631578,5.1366568
6.2727275,5.4904199
6.6315789,5.1366568
5.96,5.8264318
5.8499999,5.8264318
6.125,5.7888236
5.625,4.5321932
6.0454545,4.9230285
5.2941175,5.1447248
6.0526314,5.1447248
5.681818,4.9230285
5.352941,5.0274177
5.0625,4.717968
5.1764708,4.6515183
5.8235292,4.9076724
5.6666665,4.6183085
5.25,4.9076724
5.4736843,4.9076724
6.8571429,4.9076724
5.9130435,4.6216197
5.5500002,4.6216197
5.3636365,4.6216197
5.4347825,4.3338027
5.2857141,4.5902753
6.1599998,4.7638097
6.0555553,4.7638097
5.9000001,4.7638097
5.3000002,4.7638097
4.3684211,4.7638097
4.8000002,4.7638097
4.9523811,4.7638097
4.8571429,4.7638097
5.7391305,4.7638097
4.9629631,4.4227638
4.8823528,4.2353024
5,4.7021961
6.5,5.8227272
5.8499999,5.8227272
5.5,4.3576503
5.3684211,4.3576503
5.1999998,4.3576503
5.7142859,4.095264
4.9523811,4.095264
5.5714288,4.9155016
5.4117646,4.6147008
5.090909,5.2494235
5.5714288,5.6188865
6.3125,5.3742266
5.8888888,4.8822441
6.1052632,4.8822441
5.5625,4.9264331
5.5500002,4.0154042
5.304348,4.0154042
5.7368422,4.8502178
5.4761906,5.6188865
5.4736843,4.7556062
5.5,4.8447728
6.1111112,5.2494235
6.3846154,5.2494235
5.9130435,5.6227608
6,6.134861
6.2105265,5.6227608
6.5714288,5.6227608
6.6666665,5.0463991
