clust_HDDS,clust_HDDS_TA_predict_m2
4.6875,4.7944341
5.2352943,4.9424934
5.7199998,5.8985066
5.0952382,5.0607166
5.3125,4.651392
5.4210525,5.6388268
5.2608695,4.6876493
5.6500001,4.6594005
5.318182,4.8861632
5.125,4.5545902
4.9259257,5.176609
4.0952382,4.7624407
4.590909,4.7017555
5.1904764,4.567873
5.3888888,4.9335213
5.7142859,5.090806
6.25,6.1342411
5.181818,4.9105306
4.8499999,4.8235922
4.6500001,4.5467505
5.6500001,4.9764695
5.7272725,4.3693938
5.2631578,4.8292437
6.1666665,5.3105631
5.3684211,5.1325169
5.8125,4.7647786
6.1578946,5.237843
5.7058825,5.0100651
6.5,4.8092403
5.6842103,5.5388508
5.0588236,4.7944341
4.9411764,4.7195616
4.5625,4.6640091
5.1111112,5.056138
6.0555553,5.4925737
5.2777777,5.8148918
5.8095236,5.4196649
5.3333335,5.4196649
5.3125,5.0574427
5,5.0574427
5.6875,4.9590874
5.4705882,5.0609283
6.4375,5.9110584
6.0999999,5.1627359
5.6363635,5.9487643
5.6500001,5.5213928
5.826087,4.8665466
5.5652175,4.7879148
5.2173915,5.2332993
5.4444447,4.9859843
4.7777777,4.8390684
5.3888888,4.8861632
4.7777777,5.3130369
4.5999999,5.0581741
5.9130435,5.176609
5.1666665,4.7624407
5.1666665,5.1821871
4.7333331,5.0389519
4.25,4.6436682
4.4000001,4.6436682
4.8499999,4.8932862
6.3157897,5.9577494
6.2142859,6.1342411
6.818182,5.9310207
6.409091,5.7967482
6.4210525,5.7967482
5.695652,5.7778425
6.8000002,7.5195417
5.7083335,5.7967482
6.25,5.7642064
5.8125,5.8733783
4.8421054,4.751132
4.9444447,4.9596338
4.8235292,4.7745714
5.2631578,4.5898318
5.2380953,4.4385295
4.7058825,4.4385295
6.4499998,5.0536013
6.3157897,5.3014851
5.7894735,4.757153
5.4210525,4.8465443
5.5714288,4.9451017
6,5.3645782
5.2222223,5.0678377
5.4285712,5.0631719
6.1904764,5.3688607
5.4375,4.1194081
5.4499998,5.0891652
5.25,5.2006111
4.7777777,5.2006111
5.8888888,5.5650005
6.352941,4.8785973
6.2631578,5.2755718
6.2727275,5.8845277
6.6315789,5.4403024
5.96,6.1029177
5.8499999,5.9492879
6.125,5.5983162
5.625,4.8206973
6.0454545,5.056138
5.2941175,5.2588677
6.0526314,5.2588677
5.681818,5.4925737
5.352941,5.6406779
5.0625,5.2763262
5.1764708,5.056138
5.8235292,5.1627359
5.6666665,5.1627359
5.25,4.9590874
5.4736843,4.9590874
6.8571429,6.3252335
5.9130435,5.0323906
5.5500002,4.8774972
5.3636365,4.7243648
5.4347825,4.6515183
5.2857141,4.8390684
6.1599998,5.3130369
6.0555553,5.5568428
5.9000001,5.0581741
5.3000002,4.9611487
4.3684211,4.400835
4.8000002,4.8202453
4.9523811,4.8202453
4.8571429,5.0116162
5.7391305,5.1748781
4.9629631,4.5600271
4.8823528,4.82581
5,4.8932862
6.5,6.1342411
5.8499999,6.4277706
5.5,4.9105306
5.3684211,4.6977553
5.1999998,4.6977553
5.7142859,4.9151626
4.9523811,4.9151626
5.5714288,4.3650155
5.4117646,4.9274487
5.090909,4.9274487
5.5714288,5.6332607
6.3125,5.9310541
5.8888888,5.4083257
6.1052632,5.5871797
5.5625,5.0678377
5.5500002,4.1376152
5.304348,4.1194081
5.7368422,4.8061771
5.4761906,4.7802229
5.4736843,5.045856
5.5,5.045856
6.1111112,5.2525229
6.3846154,6.3027458
5.9130435,5.681787
6,6.0468097
6.2105265,5.8916512
6.5714288,6.0346713
6.6666665,6.6349611
